Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,2070,20.69915,98052,0.9982826,72.856
1,Piemonte,Maschi e femmine,1,97930,93,0.94496,97884,0.9992241,73.385
1,Piemonte,Maschi e femmine,2,97838,59,0.60664,97808,0.9994880,72.454
1,Piemonte,Maschi e femmine,3,97778,41,0.41723,97758,0.9996289,71.498
1,Piemonte,Maschi e femmine,4,97737,32,0.32502,97722,0.9996708,70.528
1,Piemonte,Maschi e femmine,5,97706,33,0.33342,97689,0.9996661,69.550
1,Piemonte,Maschi e femmine,6,97673,33,0.33435,97657,0.9996722,68.573
1,Piemonte,Maschi e femmine,7,97640,31,0.32127,97625,0.9996810,67.596
1,Piemonte,Maschi e femmine,8,97609,31,0.31676,97594,0.9996878,66.618
1,Piemonte,Maschi e femmine,9,97578,30,0.30766,97563,0.9996929,65.639
1,Piemonte,Maschi e femmine,10,97548,30,0.30661,97533,0.9996864,64.659
1,Piemonte,Maschi e femmine,11,97518,31,0.32068,97503,0.9996673,63.678
1,Piemonte,Maschi e femmine,12,97487,34,0.34467,97470,0.9996369,62.699
1,Piemonte,Maschi e femmine,13,97453,37,0.38162,97435,0.9995763,61.720
1,Piemonte,Maschi e femmine,14,97416,45,0.46575,97393,0.9994925,60.744
1,Piemonte,Maschi e femmine,15,97371,53,0.54931,97344,0.9994111,59.772
1,Piemonte,Maschi e femmine,16,97317,61,0.62859,97287,0.9993238,58.804
1,Piemonte,Maschi e femmine,17,97256,70,0.72388,97221,0.9992432,57.841
1,Piemonte,Maschi e femmine,18,97186,77,0.78969,97147,0.9991995,56.882
1,Piemonte,Maschi e femmine,19,97109,79,0.81134,97070,0.9991765,55.927
1,Piemonte,Maschi e femmine,20,97030,81,0.83559,96990,0.9991715,54.972
1,Piemonte,Maschi e femmine,21,96949,80,0.82136,96909,0.9991789,54.017
1,Piemonte,Maschi e femmine,22,96869,80,0.82079,96830,0.9991604,53.061
1,Piemonte,Maschi e femmine,23,96790,83,0.85836,96748,0.9991380,52.105
1,Piemonte,Maschi e femmine,24,96707,84,0.86571,96665,0.9991412,51.149
1,Piemonte,Maschi e femmine,25,96623,82,0.85196,96582,0.9991536,50.193
1,Piemonte,Maschi e femmine,26,96541,81,0.84080,96500,0.9991547,49.235
1,Piemonte,Maschi e femmine,27,96460,82,0.84987,96419,0.9991331,48.276
1,Piemonte,Maschi e femmine,28,96378,85,0.88394,96335,0.9991033,47.317
1,Piemonte,Maschi e femmine,29,96292,88,0.90939,96249,0.9991015,46.358
1,Piemonte,Maschi e femmine,30,96205,85,0.88752,96162,0.9991220,45.400
1,Piemonte,Maschi e femmine,31,96120,83,0.86843,96078,0.9991220,44.440
1,Piemonte,Maschi e femmine,32,96036,85,0.88762,95993,0.9990592,43.478
1,Piemonte,Maschi e femmine,33,95951,95,0.99400,95903,0.9989201,42.516
1,Piemonte,Maschi e femmine,34,95855,112,1.16581,95800,0.9987385,41.558
1,Piemonte,Maschi e femmine,35,95744,130,1.35738,95679,0.9985656,40.606
1,Piemonte,Maschi e femmine,36,95614,145,1.51155,95541,0.9984627,39.661
1,Piemonte,Maschi e femmine,37,95469,149,1.56312,95395,0.9984202,38.720
1,Piemonte,Maschi e femmine,38,95320,152,1.59642,95244,0.9983700,37.780
1,Piemonte,Maschi e femmine,39,95168,158,1.66354,95089,0.9982307,36.839
1,Piemonte,Maschi e femmine,40,95009,178,1.87524,94920,0.9979790,35.900
1,Piemonte,Maschi e femmine,41,94831,206,2.16703,94729,0.9976863,34.966
