Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,2222,22.21584,97909,0.9982483,72.421
1,Piemonte,Maschi e femmine,1,97778,81,0.82714,97738,0.9993006,73.055
1,Piemonte,Maschi e femmine,2,97698,56,0.57155,97670,0.9994998,72.115
1,Piemonte,Maschi e femmine,3,97642,42,0.42873,97621,0.9996064,71.156
1,Piemonte,Maschi e femmine,4,97600,35,0.35848,97582,0.9996419,70.187
1,Piemonte,Maschi e femmine,5,97565,35,0.35774,97547,0.9996402,69.212
1,Piemonte,Maschi e femmine,6,97530,35,0.36178,97512,0.9996507,68.236
1,Piemonte,Maschi e femmine,7,97495,33,0.33682,97478,0.9996731,67.261
1,Piemonte,Maschi e femmine,8,97462,31,0.31706,97446,0.9996919,66.283
1,Piemonte,Maschi e femmine,9,97431,29,0.29912,97416,0.9997012,65.304
1,Piemonte,Maschi e femmine,10,97402,29,0.29857,97387,0.9996906,64.323
1,Piemonte,Maschi e femmine,11,97373,31,0.32028,97357,0.9996633,63.343
1,Piemonte,Maschi e femmine,12,97342,34,0.35306,97324,0.9996209,62.363
1,Piemonte,Maschi e femmine,13,97307,39,0.40513,97287,0.9995484,61.385
1,Piemonte,Maschi e femmine,14,97268,48,0.49809,97244,0.9994646,60.409
1,Piemonte,Maschi e femmine,15,97219,56,0.57267,97191,0.9993931,59.439
1,Piemonte,Maschi e femmine,16,97164,62,0.64125,97132,0.9993045,58.473
1,Piemonte,Maschi e femmine,17,97101,73,0.74978,97065,0.9992197,57.510
1,Piemonte,Maschi e femmine,18,97028,79,0.81084,96989,0.9991647,56.553
1,Piemonte,Maschi e femmine,19,96950,83,0.85985,96908,0.9991343,55.598
1,Piemonte,Maschi e femmine,20,96866,84,0.87156,96824,0.9991359,54.646
1,Piemonte,Maschi e femmine,21,96782,83,0.85673,96741,0.9991602,53.693
1,Piemonte,Maschi e femmine,22,96699,80,0.82290,96659,0.9991470,52.739
1,Piemonte,Maschi e femmine,23,96620,85,0.88312,96577,0.9991029,51.782
1,Piemonte,Maschi e femmine,24,96534,88,0.91114,96490,0.9990800,50.827
1,Piemonte,Maschi e femmine,25,96446,90,0.92879,96401,0.9990810,49.873
1,Piemonte,Maschi e femmine,26,96357,88,0.90923,96313,0.9991078,48.919
1,Piemonte,Maschi e femmine,27,96269,84,0.87521,96227,0.9991413,47.963
1,Piemonte,Maschi e femmine,28,96185,81,0.84209,96144,0.9991569,47.004
1,Piemonte,Maschi e femmine,29,96104,81,0.84412,96063,0.9991520,46.044
1,Piemonte,Maschi e femmine,30,96023,82,0.85185,95982,0.9991290,45.082
1,Piemonte,Maschi e femmine,31,95941,85,0.89016,95898,0.9990588,44.120
1,Piemonte,Maschi e femmine,32,95855,95,0.99232,95808,0.9989537,43.159
1,Piemonte,Maschi e femmine,33,95760,105,1.10030,95708,0.9987902,42.201
1,Piemonte,Maschi e femmine,34,95655,126,1.31934,95592,0.9986121,41.247
1,Piemonte,Maschi e femmine,35,95529,139,1.45653,95459,0.9985068,40.301
1,Piemonte,Maschi e femmine,36,95390,146,1.52999,95317,0.9984650,39.359
1,Piemonte,Maschi e femmine,37,95244,147,1.54003,95170,0.9984363,38.419
1,Piemonte,Maschi e femmine,38,95097,151,1.58745,95022,0.9983632,37.477
1,Piemonte,Maschi e femmine,39,94946,160,1.68619,94866,0.9981692,36.536
1,Piemonte,Maschi e femmine,40,94786,187,1.97557,94692,0.9978732,35.597
1,Piemonte,Maschi e femmine,41,94599,216,2.27832,94491,0.9975829,34.666
1,Piemonte,Maschi e femmine,42,94383,241,2.55621,94263,0.9972828,33.744
1,Piemonte,Maschi e femmine,43,94142,271,2.87854,94006,0.9969562,32.829
1,Piemonte,Maschi e femmine,44,93871,301,3.20944,93720,0.9966830,31.923
1,Piemonte,Maschi e femmine,45,93570,320,3.42492,93409,0.9963965,31.024
1,Piemonte,Maschi e femmine,46,93249,353,3.78279,93073,0.9960016,30.129
1,Piemonte,Maschi e femmine,47,92896,392,4.21480,92701,0.9956272,29.241
1,Piemonte,Maschi e femmine,48,92505,419,4.53142,92295,0.9952845,28.363
1,Piemonte,Maschi e femmine,49,92086,451,4.90049,91860,0.9947750,27.490
1,Piemonte,Maschi e femmine,50,91634,509,5.55120,91380,0.9941517,26.623
1,Piemonte,Maschi e femmine,51,91126,560,6.14702,90846,0.9935642,25.769
1,Piemonte,Maschi e femmine,52,90566,609,6.72634,90261,0.9929711,24.925
1,Piemonte,Maschi e femmine,53,89956,660,7.33349,89627,0.9923378,24.090
1,Piemonte,Maschi e femmine,54,89297,714,7.99341,88940,0.9917986,23.265
1,Piemonte,Maschi e femmine,55,88583,745,8.41102,88210,0.9913546,22.448
1,Piemonte,Maschi e femmine,56,87838,780,8.88171,87448,0.9908480,21.634
1,Piemonte,Maschi e femmine,57,87058,820,9.42464,86648,0.9900538,20.824
1,Piemonte,Maschi e femmine,58,86237,903,10.47277,85786,0.9883392,20.017
1,Piemonte,Maschi e femmine,59,85334,1098,12.86132,84785,0.9859560,19.223
1,Piemonte,Maschi e femmine,60,84237,1284,15.24206,83595,0.9839246,18.467
1,Piemonte,Maschi e femmine,61,82953,1404,16.92155,82251,0.9826201,17.746
1,Piemonte,Maschi e femmine,62,81549,1455,17.84618,80821,0.9821743,17.042
1,Piemonte,Maschi e femmine,63,80094,1426,17.80491,79381,0.9818746,16.343
1,Piemonte,Maschi e femmine,64,78668,1452,18.45167,77942,0.9806051,15.630
1,Piemonte,Maschi e femmine,65,77216,1572,20.35580,76430,0.9784622,14.915
1,Piemonte,Maschi e femmine,66,75644,1720,22.74427,74784,0.9760041,14.214
1,Piemonte,Maschi e femmine,67,73924,1869,25.27676,72990,0.9732271,13.533
1,Piemonte,Maschi e femmine,68,72055,2040,28.30775,71035,0.9706653,12.871
1,Piemonte,Maschi e femmine,69,70016,2128,30.39148,68952,0.9676496,12.232
1,Piemonte,Maschi e femmine,70,67888,2333,34.37076,66721,0.9640400,11.599
1,Piemonte,Maschi e femmine,71,65554,2465,37.60587,64322,0.9601018,10.994
1,Piemonte,Maschi e femmine,72,63089,2667,42.28011,61755,0.9556651,10.405
1,Piemonte,Maschi e femmine,73,60422,2808,46.48046,59017,0.9513188,9.842
1,Piemonte,Maschi e femmine,74,57613,2938,50.98916,56144,0.9472630,9.297
1,Piemonte,Maschi e femmine,75,54676,2984,54.57877,53184,0.9423892,8.770
1,Piemonte,Maschi e femmine,76,51691,3144,60.81783,50120,0.9358360,8.247
1,Piemonte,Maschi e femmine,77,48548,3288,67.72682,46904,0.9285965,7.749
1,Piemonte,Maschi e femmine,78,45260,3410,75.34719,43555,0.9208509,7.276
1,Piemonte,Maschi e femmine,79,41850,3484,83.26079,40107,0.9129179,6.828
1,Piemonte,Maschi e femmine,80,38365,3501,91.25056,36615,0.9050040,6.402
1,Piemonte,Maschi e femmine,81,34864,3456,99.11748,33136,0.8962329,5.995
1,Piemonte,Maschi e femmine,82,31409,3421,108.92826,29698,0.8860082,5.600
1,Piemonte,Maschi e femmine,83,27987,3349,119.67429,26313,0.8748203,5.223
1,Piemonte,Maschi e femmine,84,24638,3238,131.43350,23019,0.8625924,4.865
1,Piemonte,Maschi e femmine,85,21400,3088,144.28568,19856,0.8492452,4.526
1,Piemonte,Maschi e femmine,86,18312,2899,158.31481,16862,0.8346986,4.204
1,Piemonte,Maschi e femmine,87,15413,2676,173.60220,14075,0.8188762,3.901
1,Piemonte,Maschi e femmine,88,12737,2423,190.22540,11526,0.8017066,3.615
1,Piemonte,Maschi e femmine,89,10314,2148,208.25666,9240,0.7831265,3.347
1,Piemonte,Maschi e femmine,90,8166,1860,227.75677,7236,0.7630844,3.096
1,Piemonte,Maschi e femmine,91,6306,1569,248.77570,5522,0.7415458,2.862
1,Piemonte,Maschi e femmine,92,4737,1285,271.33787,4095,0.7184992,2.644
1,Piemonte,Maschi e femmine,93,3452,1020,295.44821,2942,0.6939578,2.443
1,Piemonte,Maschi e femmine,94,2432,781,321.07874,2042,0.6683598,2.257
1,Piemonte,Maschi e femmine,95,1651,573,347.19651,1365,0.6420496,2.089
1,Piemonte,Maschi e femmine,96,1078,404,374.42373,876,0.6147278,1.933
1,Piemonte,Maschi e femmine,97,674,271,402.61367,539,0.5865504,1.791
1,Piemonte,Maschi e femmine,98,403,174,431.58845,316,0.5577026,1.662
1,Piemonte,Maschi e femmine,99,229,106,461.13751,176,0.5283979,1.544
1,Piemonte,Maschi e femmine,100,123,61,491.02195,93,0.4988721,1.437
1,Piemonte,Maschi e femmine,101,63,33,520.98324,46,0.4697753,1.341
1,Piemonte,Maschi e femmine,102,30,17,549.51715,22,0.4416417,1.256
1,Piemonte,Maschi e femmine,103,14,8,577.98413,10,0.4136656,1.179
1,Piemonte,Maschi e femmine,104,6,3,606.12094,4,0.3860683,1.108
1,Piemonte,Maschi e femmine,105,2,1,633.76221,2,0.3589995,1.044
1,Piemonte,Maschi e femmine,106,1,1,660.76424,1,0.3325900,0.986
1,Piemonte,Maschi e femmine,107,0,0,687.00047,0,0.3069519,0.934
1,Piemonte,Maschi e femmine,108,0,0,712.36969,0,0.2821767,0.887
1,Piemonte,Maschi e femmine,109,0,0,736.78393,0,0.2583427,0.844
1,Piemonte,Maschi e femmine,110,0,0,760.17214,0,0.2361371,0.806
1,Piemonte,Maschi e femmine,111,0,0,779.25217,0,0.2175660,0.776
1,Piemonte,Maschi e femmine,112,0,0,796.84777,0,0.2004342,0.749
1,Piemonte,Maschi e femmine,113,0,0,812.94483,0,0.1847531,0.725
1,Piemonte,Maschi e femmine,114,0,0,827.55369,0,0.1705116,0.705
1,Piemonte,Maschi e femmine,115,0,0,840.70734,0,0.1576793,0.686
1,Piemonte,Maschi e femmine,116,0,0,852.44891,0,0.1462166,0.671
1,Piemonte,Maschi e femmine,117,0,0,862.82728,0,0.1360788,0.657
1,Piemonte,Maschi e femmine,118,0,0,871.89606,0,0.1272170,0.645
1,Piemonte,Maschi e femmine,119,0,0,879.70686,0,0.1195841,0.636
1,Piemonte,Maschi,0,100000,2468,24.67789,97678,0.9981524,69.137
1,Piemonte,Maschi,1,97532,70,0.71500,97497,0.9993670,69.874
1,Piemonte,Maschi,2,97462,54,0.55092,97436,0.9994840,68.923
1,Piemonte,Maschi,3,97409,47,0.48101,97385,0.9995302,67.961
1,Piemonte,Maschi,4,97362,45,0.45856,97340,0.9995351,66.994
1,Piemonte,Maschi,5,97317,46,0.47124,97294,0.9995318,66.024
1,Piemonte,Maschi,6,97271,45,0.46521,97249,0.9995589,65.055
1,Piemonte,Maschi,7,97226,41,0.41690,97206,0.9996042,64.085
1,Piemonte,Maschi,8,97186,36,0.37461,97167,0.9996383,63.112
1,Piemonte,Maschi,9,97149,34,0.34876,97132,0.9996534,62.135
1,Piemonte,Maschi,10,97115,33,0.34438,97099,0.9996447,61.157
1,Piemonte,Maschi,11,97082,36,0.36613,97064,0.9996112,60.177
1,Piemonte,Maschi,12,97046,40,0.41148,97026,0.9995533,59.199
1,Piemonte,Maschi,13,97006,47,0.48192,96983,0.9994460,58.223
1,Piemonte,Maschi,14,96960,61,0.62618,96929,0.9993067,57.251
1,Piemonte,Maschi,15,96899,74,0.76039,96862,0.9991764,56.287
1,Piemonte,Maschi,16,96825,86,0.88678,96782,0.9990250,55.329
1,Piemonte,Maschi,17,96739,103,1.06339,96688,0.9989012,54.378
1,Piemonte,Maschi,18,96637,110,1.13420,96582,0.9988342,53.435
1,Piemonte,Maschi,19,96527,116,1.19744,96469,0.9987880,52.495
1,Piemonte,Maschi,20,96411,118,1.22654,96352,0.9987714,51.558
1,Piemonte,Maschi,21,96293,119,1.23065,96234,0.9987857,50.621
1,Piemonte,Maschi,22,96175,115,1.19788,96117,0.9987713,49.682
1,Piemonte,Maschi,23,96059,121,1.25961,95999,0.9987389,48.741
1,Piemonte,Maschi,24,95938,121,1.26265,95878,0.9987295,47.802
1,Piemonte,Maschi,25,95817,122,1.27840,95756,0.9987461,46.862
1,Piemonte,Maschi,26,95695,118,1.22943,95636,0.9987966,45.921
1,Piemonte,Maschi,27,95577,113,1.17741,95521,0.9988515,44.977
1,Piemonte,Maschi,28,95465,107,1.11961,95411,0.9988949,44.030
1,Piemonte,Maschi,29,95358,104,1.09062,95306,0.9989164,43.078
1,Piemonte,Maschi,30,95254,103,1.07650,95202,0.9989063,42.125
1,Piemonte,Maschi,31,95151,106,1.11093,95098,0.9988270,41.170
1,Piemonte,Maschi,32,95045,117,1.23507,94987,0.9986840,40.215
1,Piemonte,Maschi,33,94928,133,1.39712,94862,0.9984462,39.264
1,Piemonte,Maschi,34,94795,162,1.71068,94714,0.9981906,38.318
1,Piemonte,Maschi,35,94633,181,1.90837,94543,0.9980379,37.383
1,Piemonte,Maschi,36,94453,190,2.01598,94357,0.9979759,36.454
1,Piemonte,Maschi,37,94262,192,2.03229,94166,0.9979370,35.526
1,Piemonte,Maschi,38,94071,197,2.09372,93972,0.9978466,34.598
1,Piemonte,Maschi,39,93874,208,2.21319,93770,0.9975818,33.669
1,Piemonte,Maschi,40,93666,246,2.62369,93543,0.9971982,32.743
1,Piemonte,Maschi,41,93420,278,2.98029,93281,0.9968579,31.828
1,Piemonte,Maschi,42,93142,308,3.30433,92988,0.9964679,30.921
1,Piemonte,Maschi,43,92834,349,3.76065,92659,0.9959836,30.022
1,Piemonte,Maschi,44,92485,395,4.27303,92287,0.9955635,29.133
1,Piemonte,Maschi,45,92090,424,4.60076,91878,0.9951256,28.256
1,Piemonte,Maschi,46,91666,472,5.14939,91430,0.9945793,27.385
1,Piemonte,Maschi,47,91194,519,5.69347,90934,0.9941316,26.524
1,Piemonte,Maschi,48,90675,548,6.04434,90401,0.9936936,25.673
1,Piemonte,Maschi,49,90127,592,6.57010,89831,0.9929949,24.826
1,Piemonte,Maschi,50,89535,666,7.44303,89201,0.9920920,23.987
1,Piemonte,Maschi,51,88868,744,8.37638,88496,0.9911753,23.163
1,Piemonte,Maschi,52,88124,818,9.27681,87715,0.9902368,22.354
1,Piemonte,Maschi,53,87306,895,10.25416,86859,0.9893151,21.559
1,Piemonte,Maschi,54,86411,961,11.12002,85931,0.9885869,20.777
1,Piemonte,Maschi,55,85450,1001,11.70956,84950,0.9880690,20.005
1,Piemonte,Maschi,56,84450,1026,12.15516,83936,0.9875227,19.236
1,Piemonte,Maschi,57,83423,1068,12.80347,82889,0.9865580,18.467
1,Piemonte,Maschi,58,82355,1160,14.08884,81775,0.9842424,17.700
1,Piemonte,Maschi,59,81195,1417,17.45021,80486,0.9809013,16.946
1,Piemonte,Maschi,60,79778,1658,20.77649,78949,0.9780792,16.238
1,Piemonte,Maschi,61,78120,1804,23.08945,77218,0.9761582,15.572
1,Piemonte,Maschi,62,76317,1878,24.61188,75377,0.9753736,14.928
1,Piemonte,Maschi,63,74438,1834,24.64132,73521,0.9749246,14.292
1,Piemonte,Maschi,64,72604,1853,25.52038,71678,0.9731806,13.640
1,Piemonte,Maschi,65,70751,1992,28.15239,69755,0.9701716,12.984
1,Piemonte,Maschi,66,68759,2170,31.55288,67675,0.9667221,12.346
1,Piemonte,Maschi,67,66590,2335,35.05922,65422,0.9629698,11.732
1,Piemonte,Maschi,68,64255,2511,39.07272,63000,0.9595386,11.140
1,Piemonte,Maschi,69,61745,2587,41.90647,60451,0.9555047,10.573
1,Piemonte,Maschi,70,59157,2792,47.19741,57761,0.9510389,10.013
1,Piemonte,Maschi,71,56365,2864,50.81220,54933,0.9463662,9.485
1,Piemonte,Maschi,72,53501,3028,56.60641,51987,0.9411141,8.966
1,Piemonte,Maschi,73,50472,3094,61.30216,48925,0.9358866,8.473
1,Piemonte,Maschi,74,47378,3179,67.10832,45789,0.9304436,7.994
1,Piemonte,Maschi,75,44199,3190,72.18060,42604,0.9235082,7.533
1,Piemonte,Maschi,76,41009,3327,81.13840,39345,0.9150763,7.080
1,Piemonte,Maschi,77,37681,3355,89.04315,36004,0.9070816,6.662
1,Piemonte,Maschi,78,34326,3336,97.17251,32658,0.8987483,6.264
1,Piemonte,Maschi,79,30990,3278,105.76998,29352,0.8897705,5.884
1,Piemonte,Maschi,80,27713,3193,115.21645,26116,0.8797515,5.521
1,Piemonte,Maschi,81,24520,3088,125.93573,22976,0.8688730,5.175
1,Piemonte,Maschi,82,21432,2938,137.06627,19963,0.8573859,4.848
1,Piemonte,Maschi,83,18494,2756,149.04324,17116,0.8450439,4.539
1,Piemonte,Maschi,84,15738,2548,161.90463,14464,0.8318131,4.247
1,Piemonte,Maschi,85,13190,2317,175.68273,12031,0.8176622,3.970
1,Piemonte,Maschi,86,10873,2070,190.41115,9837,0.8025642,3.710
1,Piemonte,Maschi,87,8802,1814,206.11264,7895,0.7864996,3.465
1,Piemonte,Maschi,88,6988,1557,222.80618,6210,0.7694564,3.235
