Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,1679,16.78899,98420,0.9985165,73.549
1,Piemonte,Maschi e femmine,1,98321,94,0.95506,98274,0.9992083,73.796
1,Piemonte,Maschi e femmine,2,98227,62,0.62811,98196,0.9994718,72.866
1,Piemonte,Maschi e femmine,3,98166,42,0.42821,98144,0.9996270,71.912
1,Piemonte,Maschi e femmine,4,98123,31,0.31767,98108,0.9996884,70.942
1,Piemonte,Maschi e femmine,5,98092,30,0.30557,98077,0.9997038,69.965
1,Piemonte,Maschi e femmine,6,98062,28,0.28678,98048,0.9997210,68.986
1,Piemonte,Maschi e femmine,7,98034,27,0.27116,98021,0.9997292,68.006
1,Piemonte,Maschi e femmine,8,98008,27,0.27040,97994,0.9997254,67.024
1,Piemonte,Maschi e femmine,9,97981,27,0.27873,97967,0.9997117,66.042
1,Piemonte,Maschi e femmine,10,97954,29,0.29787,97939,0.9996968,65.060
1,Piemonte,Maschi e femmine,11,97925,30,0.30858,97910,0.9996919,64.080
1,Piemonte,Maschi e femmine,12,97894,30,0.30762,97879,0.9996827,63.099
1,Piemonte,Maschi e femmine,13,97864,32,0.32691,97848,0.9996429,62.118
1,Piemonte,Maschi e femmine,14,97832,38,0.38723,97813,0.9995560,61.139
1,Piemonte,Maschi e femmine,15,97794,49,0.50078,97770,0.9994369,60.162
1,Piemonte,Maschi e femmine,16,97745,61,0.62553,97715,0.9993236,59.192
1,Piemonte,Maschi e femmine,17,97684,71,0.72728,97649,0.9992441,58.229
1,Piemonte,Maschi e femmine,18,97613,77,0.78459,97575,0.9992063,57.271
1,Piemonte,Maschi e femmine,19,97537,78,0.80274,97498,0.9992105,56.315
1,Piemonte,Maschi e femmine,20,97458,76,0.77626,97421,0.9992304,55.360
1,Piemonte,Maschi e femmine,21,97383,74,0.76300,97346,0.9992118,54.403
1,Piemonte,Maschi e femmine,22,97308,79,0.81336,97269,0.9991676,53.444
1,Piemonte,Maschi e femmine,23,97229,83,0.85148,97188,0.9991541,52.487
1,Piemonte,Maschi e femmine,24,97146,82,0.84031,97106,0.9991799,51.531
1,Piemonte,Maschi e femmine,25,97065,78,0.79985,97026,0.9992186,50.574
1,Piemonte,Maschi e femmine,26,96987,74,0.76298,96950,0.9992555,49.614
1,Piemonte,Maschi e femmine,27,96913,70,0.72603,96878,0.9992370,48.652
1,Piemonte,Maschi e femmine,28,96843,77,0.80007,96804,0.9991552,47.687
1,Piemonte,Maschi e femmine,29,96765,86,0.88958,96722,0.9990952,46.725
1,Piemonte,Maschi e femmine,30,96679,89,0.92013,96635,0.9990927,45.766
1,Piemonte,Maschi e femmine,31,96590,86,0.89449,96547,0.9991190,44.807
1,Piemonte,Maschi e femmine,32,96504,84,0.86747,96462,0.9991490,43.847
1,Piemonte,Maschi e femmine,33,96420,80,0.83457,96380,0.9991164,42.885
1,Piemonte,Maschi e femmine,34,96340,90,0.93276,96295,0.9989638,41.920
1,Piemonte,Maschi e femmine,35,96250,110,1.13974,96195,0.9987342,40.959
1,Piemonte,Maschi e femmine,36,96140,134,1.39205,96073,0.9985026,40.005
1,Piemonte,Maschi e femmine,37,96006,154,1.60298,95929,0.9983352,39.060
1,Piemonte,Maschi e femmine,38,95852,166,1.72675,95770,0.9982197,38.122
1,Piemonte,Maschi e femmine,39,95687,175,1.83394,95599,0.9981345,37.187
1,Piemonte,Maschi e femmine,40,95511,181,1.89707,95421,0.9980646,36.254
1,Piemonte,Maschi e femmine,41,95330,188,1.97377,95236,0.9979217,35.322
1,Piemonte,Maschi e femmine,42,95142,208,2.18313,95038,0.9976749,34.391
1,Piemonte,Maschi e femmine,43,94934,234,2.46742,94817,0.9974039,33.465
1,Piemonte,Maschi e femmine,44,94700,258,2.72509,94571,0.9970761,32.547
1,Piemonte,Maschi e femmine,45,94442,295,3.12319,94295,0.9966388,31.635
1,Piemonte,Maschi e femmine,46,94147,339,3.59989,93978,0.9961799,30.732
1,Piemonte,Maschi e femmine,47,93808,379,4.04106,93619,0.9957770,29.841
1,Piemonte,Maschi e femmine,48,93429,412,4.40576,93223,0.9954567,28.960
1,Piemonte,Maschi e femmine,49,93018,435,4.68152,92800,0.9951898,28.086
1,Piemonte,Maschi e femmine,50,92582,457,4.93950,92353,0.9948262,27.216
1,Piemonte,Maschi e femmine,51,92125,498,5.40921,91876,0.9943194,26.349
1,Piemonte,Maschi e femmine,52,91626,546,5.95355,91354,0.9936116,25.489
1,Piemonte,Maschi e femmine,53,91081,622,6.82591,90770,0.9927901,24.639
1,Piemonte,Maschi e femmine,54,90459,687,7.59645,90116,0.9920778,23.805
1,Piemonte,Maschi e femmine,55,89772,741,8.25052,89402,0.9912670,22.983
1,Piemonte,Maschi e femmine,56,89031,821,9.21955,88621,0.9902899,22.170
1,Piemonte,Maschi e femmine,57,88211,900,10.20527,87760,0.9895606,21.372
1,Piemonte,Maschi e femmine,58,87310,932,10.67587,86844,0.9891071,20.587
1,Piemonte,Maschi e femmine,59,86378,960,11.11226,85898,0.9885691,19.804
1,Piemonte,Maschi e femmine,60,85418,1004,11.75317,84916,0.9877162,19.021
1,Piemonte,Maschi e femmine,61,84414,1082,12.82074,83873,0.9859457,18.241
1,Piemonte,Maschi e femmine,62,83332,1275,15.30387,82695,0.9835313,17.471
1,Piemonte,Maschi e femmine,63,82057,1448,17.65156,81333,0.9814705,16.735
1,Piemonte,Maschi e femmine,64,80608,1566,19.42331,79826,0.9799545,16.027
1,Piemonte,Maschi e femmine,65,79043,1635,20.68000,78225,0.9787986,15.335
1,Piemonte,Maschi e femmine,66,77408,1682,21.73382,76567,0.9775345,14.648
1,Piemonte,Maschi e femmine,67,75726,1758,23.21353,74847,0.9755518,13.962
1,Piemonte,Maschi e femmine,68,73968,1902,25.71229,73017,0.9728432,13.282
1,Piemonte,Maschi e femmine,69,72066,2064,28.63933,71034,0.9699040,12.619
1,Piemonte,Maschi e femmine,70,70002,2212,31.59555,68896,0.9667208,11.977
1,Piemonte,Maschi e femmine,71,67790,2374,35.01787,66603,0.9635057,11.351
1,Piemonte,Maschi e femmine,72,65416,2487,38.02422,64173,0.9598315,10.745
1,Piemonte,Maschi e femmine,73,62929,2668,42.39747,61595,0.9552985,10.150
1,Piemonte,Maschi e femmine,74,60261,2839,47.10752,58842,0.9499475,9.577
1,Piemonte,Maschi e femmine,75,57422,3052,53.14316,55896,0.9443292,9.026
1,Piemonte,Maschi e femmine,76,54371,3172,58.34033,52785,0.9386812,8.504
1,Piemonte,Maschi e femmine,77,51199,3301,64.48189,49548,0.9323352,8.000
1,Piemonte,Maschi e femmine,78,47897,3404,71.06715,46195,0.9255068,7.517
1,Piemonte,Maschi e femmine,79,44493,3479,78.18142,42754,0.9180734,7.054
1,Piemonte,Maschi e femmine,80,41015,3527,85.98941,39251,0.9098583,6.610
1,Piemonte,Maschi e femmine,81,37488,3550,94.68469,35713,0.9008229,6.185
1,Piemonte,Maschi e femmine,82,33938,3534,104.13936,32171,0.8909651,5.779
1,Piemonte,Maschi e femmine,83,30404,3481,114.49962,28663,0.8801740,5.393
1,Piemonte,Maschi e femmine,84,26923,3388,125.84101,25229,0.8683753,5.026
1,Piemonte,Maschi e femmine,85,23535,3253,138.24108,21908,0.8554914,4.677
1,Piemonte,Maschi e femmine,86,20281,3078,151.78158,18742,0.8414443,4.347
1,Piemonte,Maschi e femmine,87,17203,2865,166.54198,15771,0.8261590,4.036
1,Piemonte,Maschi e femmine,88,14338,2618,182.59857,13029,0.8095646,3.742
1,Piemonte,Maschi e femmine,89,11720,2344,200.02297,10548,0.7915979,3.467
1,Piemonte,Maschi e femmine,90,9376,2052,218.87641,8350,0.7722060,3.208
1,Piemonte,Maschi e femmine,91,7324,1752,239.21031,6448,0.7513524,2.967
1,Piemonte,Maschi e femmine,92,5572,1454,261.05229,4844,0.7290213,2.743
1,Piemonte,Maschi e femmine,93,4117,1171,284.41197,3532,0.7052203,2.535
1,Piemonte,Maschi e femmine,94,2946,911,309.26810,2491,0.6803672,2.344
1,Piemonte,Maschi e femmine,95,2035,681,334.63825,1695,0.6547842,2.170
1,Piemonte,Maschi e femmine,96,1354,489,361.11329,1110,0.6281893,2.009
1,Piemonte,Maschi e femmine,97,865,336,388.55462,697,0.6007307,1.863
1,Piemonte,Maschi e femmine,98,529,220,416.79288,419,0.5725858,1.729
1,Piemonte,Maschi e femmine,99,308,137,445.62620,240,0.5439603,1.607
1,Piemonte,Maschi e femmine,100,171,81,474.82390,130,0.5150833,1.496
1,Piemonte,Maschi e femmine,101,90,45,504.13459,67,0.4866038,1.397
1,Piemonte,Maschi e femmine,102,45,24,532.07374,33,0.4590358,1.309
1,Piemonte,Maschi e femmine,103,21,12,559.96387,15,0.4316053,1.228
1,Piemonte,Maschi e femmine,104,9,5,587.55409,6,0.4045224,1.155
1,Piemonte,Maschi e femmine,105,4,2,614.68865,3,0.3779279,1.089
1,Piemonte,Maschi e femmine,106,1,1,641.23427,1,0.3519428,1.029
1,Piemonte,Maschi e femmine,107,1,0,667.07516,0,0.3266693,0.974
1,Piemonte,Maschi e femmine,108,0,0,692.12022,0,0.3021900,0.925
