Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,1515,15.15144,98574,0.9987349,74.149
1,Piemonte,Maschi e femmine,1,98485,71,0.71721,98450,0.9993915,74.282
1,Piemonte,Maschi e femmine,2,98414,49,0.49963,98390,0.9995707,73.335
1,Piemonte,Maschi e femmine,3,98365,35,0.35900,98347,0.9996838,72.371
1,Piemonte,Maschi e femmine,4,98330,27,0.27336,98316,0.9997438,71.397
1,Piemonte,Maschi e femmine,5,98303,24,0.23907,98291,0.9997680,70.416
1,Piemonte,Maschi e femmine,6,98279,22,0.22484,98268,0.9997806,69.433
1,Piemonte,Maschi e femmine,7,98257,21,0.21391,98247,0.9997812,68.448
1,Piemonte,Maschi e femmine,8,98236,22,0.22364,98225,0.9997592,67.463
1,Piemonte,Maschi e femmine,9,98214,25,0.25804,98202,0.9997286,66.478
1,Piemonte,Maschi e femmine,10,98189,28,0.28473,98175,0.9997070,65.495
1,Piemonte,Maschi e femmine,11,98161,30,0.30117,98146,0.9996993,64.513
1,Piemonte,Maschi e femmine,12,98131,29,0.30024,98117,0.9996882,63.533
1,Piemonte,Maschi e femmine,13,98102,32,0.32338,98086,0.9996511,62.552
1,Piemonte,Maschi e femmine,14,98070,37,0.37438,98052,0.9995763,61.572
1,Piemonte,Maschi e femmine,15,98034,46,0.47314,98010,0.9994697,60.595
1,Piemonte,Maschi e femmine,16,97987,58,0.58740,97958,0.9993512,59.623
1,Piemonte,Maschi e femmine,17,97930,70,0.71023,97895,0.9992438,58.658
1,Piemonte,Maschi e femmine,18,97860,79,0.80222,97821,0.9991772,57.699
1,Piemonte,Maschi e femmine,19,97782,82,0.84335,97740,0.9991738,56.745
1,Piemonte,Maschi e femmine,20,97699,79,0.80906,97660,0.9992245,55.792
1,Piemonte,Maschi e femmine,21,97620,72,0.74188,97584,0.9992654,54.837
1,Piemonte,Maschi e femmine,22,97548,71,0.72738,97512,0.9992636,53.878
1,Piemonte,Maschi e femmine,23,97477,73,0.74551,97440,0.9992437,52.916
1,Piemonte,Maschi e femmine,24,97404,75,0.76719,97367,0.9992407,51.956
1,Piemonte,Maschi e femmine,25,97329,73,0.75148,97293,0.9992622,50.995
1,Piemonte,Maschi e femmine,26,97256,70,0.72407,97221,0.9992940,50.033
1,Piemonte,Maschi e femmine,27,97186,67,0.68788,97152,0.9992802,49.069
1,Piemonte,Maschi e femmine,28,97119,73,0.75175,97082,0.9992083,48.102
1,Piemonte,Maschi e femmine,29,97046,81,0.83163,97005,0.9991362,47.138
1,Piemonte,Maschi e femmine,30,96965,87,0.89608,96922,0.9990966,46.177
1,Piemonte,Maschi e femmine,31,96878,88,0.91069,96834,0.9990906,45.218
1,Piemonte,Maschi e femmine,32,96790,88,0.90813,96746,0.9991044,44.259
1,Piemonte,Maschi e femmine,33,96702,85,0.88308,96659,0.9990872,43.298
1,Piemonte,Maschi e femmine,34,96617,91,0.94253,96571,0.9990044,42.336
1,Piemonte,Maschi e femmine,35,96526,101,1.04862,96475,0.9988595,41.376
1,Piemonte,Maschi e femmine,36,96424,119,1.23254,96365,0.9986670,40.419
1,Piemonte,Maschi e femmine,37,96306,138,1.43366,96237,0.9984911,39.468
1,Piemonte,Maschi e femmine,38,96167,152,1.58433,96091,0.9983370,38.524
1,Piemonte,Maschi e femmine,39,96015,167,1.74186,95932,0.9982036,37.584
1,Piemonte,Maschi e femmine,40,95848,177,1.85103,95759,0.9981242,36.649
1,Piemonte,Maschi e femmine,41,95670,182,1.90065,95580,0.9980282,35.716
1,Piemonte,Maschi e femmine,42,95489,195,2.04309,95391,0.9978179,34.783
1,Piemonte,Maschi e femmine,43,95294,221,2.32133,95183,0.9975551,33.853
1,Piemonte,Maschi e femmine,44,95072,244,2.56873,94950,0.9972132,32.931
1,Piemonte,Maschi e femmine,45,94828,285,3.00549,94686,0.9967615,32.014
1,Piemonte,Maschi e femmine,46,94543,328,3.47227,94379,0.9963251,31.109
1,Piemonte,Maschi e femmine,47,94215,365,3.87827,94032,0.9958922,30.216
1,Piemonte,Maschi e femmine,48,93849,407,4.33816,93646,0.9954349,29.332
1,Piemonte,Maschi e femmine,49,93442,448,4.79305,93218,0.9950891,28.457
1,Piemonte,Maschi e femmine,50,92994,468,5.02938,92761,0.9947856,27.592
1,Piemonte,Maschi e femmine,51,92527,500,5.40036,92277,0.9943281,26.729
1,Piemonte,Maschi e femmine,52,92027,547,5.94497,91754,0.9937550,25.871
1,Piemonte,Maschi e femmine,53,91480,599,6.54688,91181,0.9930822,25.023
1,Piemonte,Maschi e femmine,54,90881,663,7.29114,90550,0.9922472,24.185
1,Piemonte,Maschi e femmine,55,90218,741,8.21779,89848,0.9914058,23.359
1,Piemonte,Maschi e femmine,56,89477,803,8.97366,89076,0.9906753,22.548
1,Piemonte,Maschi e femmine,57,88674,858,9.67892,88245,0.9899673,21.748
1,Piemonte,Maschi e femmine,58,87816,912,10.38996,87360,0.9893683,20.955
1,Piemonte,Maschi e femmine,59,86903,945,10.87599,86431,0.9889006,20.170
1,Piemonte,Maschi e femmine,60,85958,973,11.32525,85472,0.9882465,19.386
1,Piemonte,Maschi e femmine,61,84985,1036,12.18673,84467,0.9869121,18.603
1,Piemonte,Maschi e femmine,62,83949,1175,14.00022,83361,0.9845173,17.826
1,Piemonte,Maschi e femmine,63,82774,1406,16.98624,82071,0.9817089,17.072
1,Piemonte,Maschi e femmine,64,81368,1596,19.61844,80570,0.9796226,16.358
1,Piemonte,Maschi e femmine,65,79771,1687,21.15149,78928,0.9781973,15.676
1,Piemonte,Maschi e femmine,66,78084,1754,22.46794,77207,0.9774666,15.004
1,Piemonte,Maschi e femmine,67,76330,1725,22.60042,75467,0.9766647,14.337
1,Piemonte,Maschi e femmine,68,74605,1797,24.08710,73706,0.9745789,13.657
1,Piemonte,Maschi e femmine,69,72808,1950,26.78806,71832,0.9716356,12.982
1,Piemonte,Maschi e femmine,70,70857,2125,29.98420,69795,0.9686278,12.325
1,Piemonte,Maschi e femmine,71,68733,2255,32.80312,67605,0.9653520,11.691
1,Piemonte,Maschi e femmine,72,66478,2430,36.55535,65263,0.9619813,11.070
1,Piemonte,Maschi e femmine,73,64048,2532,39.53752,62782,0.9584115,10.471
1,Piemonte,Maschi e femmine,74,61516,2690,43.72400,60171,0.9539393,9.882
1,Piemonte,Maschi e femmine,75,58826,2853,48.50421,57399,0.9482643,9.311
1,Piemonte,Maschi e femmine,76,55973,3086,55.13185,54430,0.9417918,8.760
1,Piemonte,Maschi e femmine,77,52887,3251,61.46414,51261,0.9353135,8.242
1,Piemonte,Maschi e femmine,78,49636,3381,68.11998,47945,0.9285374,7.749
1,Piemonte,Maschi e femmine,79,46255,3471,75.04952,44519,0.9214241,7.279
1,Piemonte,Maschi e femmine,80,42783,3525,82.38830,41021,0.9138315,6.829
1,Piemonte,Maschi e femmine,81,39259,3545,90.28819,37486,0.9054159,6.397
1,Piemonte,Maschi e femmine,82,35714,3547,99.30638,33941,0.8960097,5.983
1,Piemonte,Maschi e femmine,83,32167,3512,109.19073,30411,0.8857097,5.587
1,Piemonte,Maschi e femmine,84,28655,3439,120.01494,26936,0.8744429,5.211
1,Piemonte,Maschi e femmine,85,25216,3325,131.85511,23554,0.8621330,4.853
1,Piemonte,Maschi e femmine,86,21891,3170,144.79208,20306,0.8487021,4.514
1,Piemonte,Maschi e femmine,87,18721,2975,158.90523,17234,0.8340746,4.194
1,Piemonte,Maschi e femmine,88,15747,2744,174.27177,14374,0.8181782,3.892
1,Piemonte,Maschi e femmine,89,13002,2483,190.96536,11761,0.8009465,3.608
1,Piemonte,Maschi e femmine,90,10519,2199,209.05068,9420,0.7823227,3.341
1,Piemonte,Maschi e femmine,91,8320,1902,228.58398,7369,0.7622641,3.092
1,Piemonte,Maschi e femmine,92,6418,1602,249.59964,5617,0.7407477,2.860
1,Piemonte,Maschi e femmine,93,4816,1311,272.11563,4161,0.7177719,2.645
1,Piemonte,Maschi e femmine,94,3506,1038,296.12106,2987,0.6937420,2.447
1,Piemonte,Maschi e femmine,95,2468,791,320.65964,2072,0.6689640,2.266
1,Piemonte,Maschi e femmine,96,1676,581,346.31007,1386,0.6431619,2.099
1,Piemonte,Maschi e femmine,97,1096,409,372.94363,891,0.6164745,1.947
1,Piemonte,Maschi e femmine,98,687,275,400.40091,550,0.5890702,1.807
1,Piemonte,Maschi e femmine,99,412,177,428.48978,324,0.5611461,1.680
1,Piemonte,Maschi e femmine,100,235,108,456.98858,182,0.5329236,1.565
1,Piemonte,Maschi e femmine,101,128,62,485.65386,97,0.5050641,1.462
1,Piemonte,Maschi e femmine,102,66,34,512.98223,49,0.4780667,1.370
1,Piemonte,Maschi e femmine,103,32,17,540.31269,23,0.4511500,1.286
1,Piemonte,Maschi e femmine,104,15,8,567.42198,11,0.4245006,1.209
1,Piemonte,Maschi e femmine,105,6,4,594.17226,4,0.3982433,1.140
1,Piemonte,Maschi e femmine,106,3,2,620.44542,2,0.3724862,1.077
1,Piemonte,Maschi e femmine,107,1,1,646.13651,1,0.3473231,1.019
1,Piemonte,Maschi e femmine,108,0,0,671.15978,0,0.3228327,0.967
1,Piemonte,Maschi e femmine,109,0,0,695.43603,0,0.2990869,0.920
1,Piemonte,Maschi e femmine,110,0,0,718.89659,0,0.2768803,0.878
1,Piemonte,Maschi e femmine,111,0,0,738.14304,0,0.2581280,0.844
1,Piemonte,Maschi e femmine,112,0,0,756.11243,0,0.2406163,0.814
1,Piemonte,Maschi e femmine,113,0,0,772.79669,0,0.2243515,0.787
1,Piemonte,Maschi e femmine,114,0,0,788.20025,0,0.2093286,0.763
1,Piemonte,Maschi e femmine,115,0,0,802.33899,0,0.1955333,0.742
1,Piemonte,Maschi e femmine,116,0,0,815.23130,0,0.1829492,0.723
1,Piemonte,Maschi e femmine,117,0,0,826.89818,0,0.1715571,0.706
1,Piemonte,Maschi e femmine,118,0,0,837.36637,0,0.1613330,0.692
1,Piemonte,Maschi e femmine,119,0,0,846.66455,0,0.1522504,0.679
1,Piemonte,Maschi,0,100000,1700,17.00124,98400,0.9986554,70.684
1,Piemonte,Maschi,1,98300,64,0.65112,98268,0.9994319,70.897
1,Piemonte,Maschi,2,98236,48,0.48495,98212,0.9995686,69.943
1,Piemonte,Maschi,3,98188,37,0.37780,98170,0.9996555,68.977
1,Piemonte,Maschi,4,98151,31,0.31123,98136,0.9997012,68.003
1,Piemonte,Maschi,5,98121,28,0.28633,98107,0.9997273,67.024
1,Piemonte,Maschi,6,98092,25,0.25907,98080,0.9997538,66.043
1,Piemonte,Maschi,7,98067,23,0.23323,98056,0.9997700,65.060
1,Piemonte,Maschi,8,98044,22,0.22686,98033,0.9997583,64.075
1,Piemonte,Maschi,9,98022,25,0.25662,98009,0.9997230,63.089
1,Piemonte,Maschi,10,97997,29,0.29746,97982,0.9996813,62.105
1,Piemonte,Maschi,11,97968,33,0.34002,97951,0.9996505,61.124
1,Piemonte,Maschi,12,97934,35,0.35897,97917,0.9996197,60.144
1,Piemonte,Maschi,13,97899,39,0.40160,97880,0.9995519,59.166
1,Piemonte,Maschi,14,97860,48,0.49453,97836,0.9994197,58.189
1,Piemonte,Maschi,15,97811,65,0.66609,97779,0.9992243,57.218
1,Piemonte,Maschi,16,97746,87,0.88542,97703,0.9990246,56.256
1,Piemonte,Maschi,17,97660,104,1.06538,97608,0.9988681,55.305
1,Piemonte,Maschi,18,97556,117,1.19852,97497,0.9987742,54.364
1,Piemonte,Maschi,19,97439,122,1.25305,97378,0.9987910,53.428
1,Piemonte,Maschi,20,97317,113,1.16479,97260,0.9988887,52.495
