Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,719,7.19458,99323,0.9993499,76.823
1,Piemonte,Maschi e femmine,1,99281,44,0.44564,99258,0.9996075,76.376
1,Piemonte,Maschi e femmine,2,99236,34,0.33928,99219,0.9996958,75.410
1,Piemonte,Maschi e femmine,3,99203,27,0.26909,99189,0.9997543,74.435
1,Piemonte,Maschi e femmine,4,99176,22,0.22238,99165,0.9997932,73.455
1,Piemonte,Maschi e femmine,5,99154,19,0.19128,99144,0.9998172,72.471
1,Piemonte,Maschi e femmine,6,99135,17,0.17438,99126,0.9998327,71.485
1,Piemonte,Maschi e femmine,7,99118,16,0.16026,99110,0.9998409,70.497
1,Piemonte,Maschi e femmine,8,99102,16,0.15790,99094,0.9998348,69.509
1,Piemonte,Maschi e femmine,9,99086,17,0.17247,99078,0.9998237,68.519
1,Piemonte,Maschi e femmine,10,99069,18,0.18006,99060,0.9998174,67.531
1,Piemonte,Maschi e femmine,11,99051,18,0.18509,99042,0.9998110,66.543
1,Piemonte,Maschi e femmine,12,99033,19,0.19286,99023,0.9997862,65.555
1,Piemonte,Maschi e femmine,13,99014,23,0.23471,99002,0.9997201,64.568
1,Piemonte,Maschi e femmine,14,98990,32,0.32517,98974,0.9996038,63.583
1,Piemonte,Maschi e femmine,15,98958,46,0.46724,98935,0.9994596,62.604
1,Piemonte,Maschi e femmine,16,98912,61,0.61368,98882,0.9993367,61.633
1,Piemonte,Maschi e femmine,17,98851,70,0.71303,98816,0.9992596,60.670
1,Piemonte,Maschi e femmine,18,98781,76,0.76770,98743,0.9992082,59.713
1,Piemonte,Maschi e femmine,19,98705,81,0.81587,98665,0.9991787,58.759
1,Piemonte,Maschi e femmine,20,98625,82,0.82677,98584,0.9991651,57.806
1,Piemonte,Maschi e femmine,21,98543,83,0.84299,98501,0.9991519,56.854
1,Piemonte,Maschi e femmine,22,98460,84,0.85317,98418,0.9991454,55.901
1,Piemonte,Maschi e femmine,23,98376,84,0.85594,98334,0.9991209,54.948
1,Piemonte,Maschi e femmine,24,98292,89,0.90230,98247,0.9990735,53.995
1,Piemonte,Maschi e femmine,25,98203,93,0.95075,98156,0.9990524,53.043
1,Piemonte,Maschi e femmine,26,98110,93,0.94448,98063,0.9990393,52.093
1,Piemonte,Maschi e femmine,27,98017,96,0.97698,97969,0.9990233,51.142
1,Piemonte,Maschi e femmine,28,97921,96,0.97646,97873,0.9990165,50.192
1,Piemonte,Maschi e femmine,29,97826,97,0.99049,97777,0.9989949,49.240
1,Piemonte,Maschi e femmine,30,97729,100,1.01964,97679,0.9989751,48.289
1,Piemonte,Maschi e femmine,31,97629,101,1.03022,97579,0.9989915,47.337
1,Piemonte,Maschi e femmine,32,97528,96,0.98667,97480,0.9990050,46.386
1,Piemonte,Maschi e femmine,33,97432,98,1.00339,97383,0.9989877,45.431
1,Piemonte,Maschi e femmine,34,97334,99,1.02123,97285,0.9989697,44.476
1,Piemonte,Maschi e femmine,35,97235,101,1.03935,97185,0.9989254,43.521
1,Piemonte,Maschi e femmine,36,97134,108,1.10987,97080,0.9988122,42.566
1,Piemonte,Maschi e femmine,37,97026,123,1.26572,96965,0.9986826,41.613
1,Piemonte,Maschi e femmine,38,96903,133,1.36920,96837,0.9985934,40.665
1,Piemonte,Maschi e femmine,39,96771,140,1.44409,96701,0.9984809,39.720
1,Piemonte,Maschi e femmine,40,96631,154,1.59412,96554,0.9983889,38.776
1,Piemonte,Maschi e femmine,41,96477,157,1.62816,96398,0.9983682,37.838
1,Piemonte,Maschi e femmine,42,96320,158,1.63536,96241,0.9983358,36.898
1,Piemonte,Maschi e femmine,43,96162,163,1.69312,96081,0.9982474,35.958
1,Piemonte,Maschi e femmine,44,96000,174,1.81218,95913,0.9980745,35.018
1,Piemonte,Maschi e femmine,45,95826,195,2.03894,95728,0.9977737,34.081
1,Piemonte,Maschi e femmine,46,95630,231,2.41401,95515,0.9973961,33.149
1,Piemonte,Maschi e femmine,47,95399,267,2.79431,95266,0.9970036,32.228
1,Piemonte,Maschi e femmine,48,95133,304,3.19906,94981,0.9966063,31.317
1,Piemonte,Maschi e femmine,49,94828,340,3.58905,94658,0.9962844,30.416
1,Piemonte,Maschi e femmine,50,94488,363,3.84256,94307,0.9960300,29.524
1,Piemonte,Maschi e femmine,51,94125,386,4.09789,93932,0.9957601,28.636
1,Piemonte,Maschi e femmine,52,93739,411,4.38256,93534,0.9953622,27.752
1,Piemonte,Maschi e femmine,53,93328,457,4.89416,93100,0.9947837,26.872
1,Piemonte,Maschi e femmine,54,92872,515,5.54007,92614,0.9941384,26.001
1,Piemonte,Maschi e femmine,55,92357,571,6.18490,92072,0.9935558,25.143
1,Piemonte,Maschi e femmine,56,91786,615,6.70510,91478,0.9929757,24.297
1,Piemonte,Maschi e femmine,57,91171,670,7.34570,90836,0.9921384,23.457
1,Piemonte,Maschi e femmine,58,90501,759,8.38138,90122,0.9911742,22.627
1,Piemonte,Maschi e femmine,59,89742,832,9.27396,89326,0.9904155,21.814
1,Piemonte,Maschi e femmine,60,88910,880,9.89789,88470,0.9896339,21.014
1,Piemonte,Maschi e femmine,61,88030,954,10.83899,87553,0.9886364,20.219
1,Piemonte,Maschi e femmine,62,87076,1036,11.89405,86558,0.9873408,19.435
1,Piemonte,Maschi e femmine,63,86040,1156,13.43363,85462,0.9858704,18.663
1,Piemonte,Maschi e femmine,64,84884,1259,14.83509,84255,0.9843996,17.910
1,Piemonte,Maschi e femmine,65,83625,1370,16.37730,82940,0.9832076,17.172
1,Piemonte,Maschi e femmine,66,82256,1416,17.21436,81548,0.9820607,16.450
1,Piemonte,Maschi e femmine,67,80840,1510,18.67693,80085,0.9804424,15.729
1,Piemonte,Maschi e femmine,68,79330,1623,20.45500,78518,0.9787437,15.019
1,Piemonte,Maschi e femmine,69,77707,1715,22.07434,76849,0.9774786,14.323
1,Piemonte,Maschi e femmine,70,75992,1746,22.97862,75119,0.9760614,13.635
1,Piemonte,Maschi e femmine,71,74246,1850,24.92108,73320,0.9734582,12.943
1,Piemonte,Maschi e femmine,72,72395,2042,28.20388,71374,0.9689058,12.261
1,Piemonte,Maschi e femmine,73,70353,2397,34.06832,69155,0.9632138,11.603
1,Piemonte,Maschi e femmine,74,67957,2691,39.59991,66611,0.9585547,10.994
1,Piemonte,Maschi e femmine,75,65266,2830,43.36685,63850,0.9552809,10.427
1,Piemonte,Maschi e femmine,76,62435,2880,46.13271,60995,0.9531111,9.877
1,Piemonte,Maschi e femmine,77,59555,2840,47.68168,58135,0.9505466,9.331
1,Piemonte,Maschi e femmine,78,56715,2910,51.31378,55260,0.9456960,8.773
1,Piemonte,Maschi e femmine,79,53805,3091,57.45589,52259,0.9389219,8.220
1,Piemonte,Maschi e femmine,80,50713,3292,64.92120,49067,0.9316528,7.691
1,Piemonte,Maschi e femmine,81,47421,3415,72.01104,45714,0.9229872,7.190
1,Piemonte,Maschi e femmine,82,44006,3626,82.40265,42193,0.9137446,6.709
1,Piemonte,Maschi e femmine,83,40380,3653,90.45405,38554,0.9048941,6.267
1,Piemonte,Maschi e femmine,84,36727,3681,100.22032,34887,0.8954889,5.840
1,Piemonte,Maschi e femmine,85,33047,3611,109.27983,31241,0.8844725,5.435
1,Piemonte,Maschi e femmine,86,29435,3607,122.54162,27632,0.8707927,5.041
1,Piemonte,Maschi e femmine,87,25828,3533,136.80398,24062,0.8560699,4.675
1,Piemonte,Maschi e femmine,88,22295,3393,152.18553,20598,0.8405928,4.337
1,Piemonte,Maschi e femmine,89,18902,3174,167.92515,17315,0.8248553,4.025
1,Piemonte,Maschi e femmine,90,15728,2891,183.82123,14282,0.8089899,3.737
1,Piemonte,Maschi e femmine,91,12837,2565,199.81808,11554,0.7916350,3.466
1,Piemonte,Maschi e femmine,92,10272,2250,219.04632,9147,0.7718842,3.206
1,Piemonte,Maschi e femmine,93,8022,1923,239.72917,7060,0.7507061,2.965
1,Piemonte,Maschi e femmine,94,6099,1597,261.87463,5300,0.7283872,2.743
1,Piemonte,Maschi e femmine,95,4502,1282,284.80589,3861,0.7051363,2.538
1,Piemonte,Maschi e femmine,96,3220,995,308.92672,2722,0.6807694,2.350
1,Piemonte,Maschi e femmine,97,2225,743,334.14046,1853,0.6553946,2.177
1,Piemonte,Maschi e femmine,98,1481,534,360.32174,1215,0.6291479,2.019
1,Piemonte,Maschi e femmine,99,948,367,387.31407,764,0.6021934,1.874
1,Piemonte,Maschi e femmine,100,581,241,414.93202,460,0.5747200,1.742
1,Piemonte,Maschi e femmine,101,340,150,442.96683,264,0.5472790,1.624
1,Piemonte,Maschi e femmine,102,189,89,470.23188,145,0.5202446,1.517
1,Piemonte,Maschi e femmine,103,100,50,497.73222,75,0.4930740,1.420
1,Piemonte,Maschi e femmine,104,50,26,525.23041,37,0.4659636,1.331
1,Piemonte,Maschi e femmine,105,24,13,552.58435,17,0.4390429,1.250
1,Piemonte,Maschi e femmine,106,11,6,579.67070,8,0.4124247,1.177
1,Piemonte,Maschi e femmine,107,4,3,606.38111,3,0.3862053,1.110
1,Piemonte,Maschi e femmine,108,2,1,632.62920,1,0.3604632,1.049
1,Piemonte,Maschi e femmine,109,1,0,658.33976,0,0.3352654,0.993
1,Piemonte,Maschi e femmine,110,0,0,683.45153,0,0.3113662,0.944
1,Piemonte,Maschi e femmine,111,0,0,705.00482,0,0.2903390,0.903
1,Piemonte,Maschi e femmine,112,0,0,725.44511,0,0.2703952,0.866
1,Piemonte,Maschi e femmine,113,0,0,744.75550,0,0.2515473,0.832
1,Piemonte,Maschi e femmine,114,0,0,762.93772,0,0.2337907,0.802
1,Piemonte,Maschi e femmine,115,0,0,780.00992,0,0.2171076,0.775
1,Piemonte,Maschi e femmine,116,0,0,795.99519,0,0.2014763,0.751
1,Piemonte,Maschi e femmine,117,0,0,810.91819,0,0.1868735,0.729
1,Piemonte,Maschi e femmine,118,0,0,824.80531,0,0.1732755,0.709
1,Piemonte,Maschi e femmine,119,0,0,837.67935,0,0.1606612,0.691
1,Piemonte,Maschi,0,100000,780,7.79903,99266,0.9992573,73.553
1,Piemonte,Maschi,1,99220,55,0.55864,99192,0.9995364,73.127
1,Piemonte,Maschi,2,99165,37,0.36858,99146,0.9996842,72.167
1,Piemonte,Maschi,3,99128,26,0.26302,99115,0.9997637,71.194
1,Piemonte,Maschi,4,99102,21,0.20949,99092,0.9997941,70.212
1,Piemonte,Maschi,5,99081,20,0.20225,99071,0.9998037,69.227
1,Piemonte,Maschi,6,99061,19,0.19040,99052,0.9998159,68.241
1,Piemonte,Maschi,7,99042,18,0.17770,99034,0.9998258,67.254
1,Piemonte,Maschi,8,99025,17,0.17061,99016,0.9998199,66.266
1,Piemonte,Maschi,9,99008,19,0.18952,98999,0.9998045,65.277
1,Piemonte,Maschi,10,98989,20,0.20151,98979,0.9997893,64.289
1,Piemonte,Maschi,11,98969,22,0.21989,98958,0.9997744,63.302
1,Piemonte,Maschi,12,98947,23,0.23128,98936,0.9997406,62.316
1,Piemonte,Maschi,13,98925,28,0.28761,98910,0.9996542,61.330
1,Piemonte,Maschi,14,98896,40,0.40391,98876,0.9994876,60.348
1,Piemonte,Maschi,15,98856,61,0.62103,98825,0.9992559,59.372
1,Piemonte,Maschi,16,98795,86,0.86731,98752,0.9990393,58.409
1,Piemonte,Maschi,17,98709,104,1.05413,98657,0.9988849,57.459
1,Piemonte,Maschi,18,98605,116,1.17605,98547,0.9987827,56.519
1,Piemonte,Maschi,19,98489,124,1.25864,98427,0.9987494,55.585
1,Piemonte,Maschi,20,98365,122,1.24245,98304,0.9987421,54.654
1,Piemonte,Maschi,21,98243,125,1.27328,98180,0.9987106,53.722
1,Piemonte,Maschi,22,98118,128,1.30552,98054,0.9986881,52.789
1,Piemonte,Maschi,23,97990,129,1.31835,97925,0.9986325,51.858
1,Piemonte,Maschi,24,97860,139,1.41681,97791,0.9985540,50.926
1,Piemonte,Maschi,25,97722,144,1.47521,97650,0.9985483,49.997
1,Piemonte,Maschi,26,97578,139,1.42825,97508,0.9985521,49.070
1,Piemonte,Maschi,27,97438,143,1.46766,97367,0.9985480,48.140
1,Piemonte,Maschi,28,97295,140,1.43625,97225,0.9985799,47.210
1,Piemonte,Maschi,29,97156,136,1.40395,97087,0.9985790,46.277
1,Piemonte,Maschi,30,97019,140,1.43812,96949,0.9985617,45.341
1,Piemonte,Maschi,31,96880,139,1.43854,96810,0.9985998,44.406
1,Piemonte,Maschi,32,96740,132,1.36172,96674,0.9986195,43.469
1,Piemonte,Maschi,33,96609,135,1.39921,96541,0.9986014,42.528
1,Piemonte,Maschi,34,96473,135,1.39799,96406,0.9986148,41.587
1,Piemonte,Maschi,35,96339,132,1.37246,96272,0.9986004,40.644
1,Piemonte,Maschi,36,96206,137,1.42675,96138,0.9984767,39.699
1,Piemonte,Maschi,37,96069,156,1.62003,95991,0.9983134,38.755
1,Piemonte,Maschi,38,95913,168,1.75335,95829,0.9981825,37.817
1,Piemonte,Maschi,39,95745,180,1.88184,95655,0.9980182,36.883
1,Piemonte,Maschi,40,95565,199,2.08198,95466,0.9978813,35.952
1,Piemonte,Maschi,41,95366,206,2.15540,95263,0.9978390,35.026
1,Piemonte,Maschi,42,95161,206,2.16658,95057,0.9977926,34.100
1,Piemonte,Maschi,43,94954,213,2.24839,94848,0.9976961,33.173
1,Piemonte,Maschi,44,94741,224,2.35952,94629,0.9975285,32.247
1,Piemonte,Maschi,45,94517,244,2.58367,94395,0.9971670,31.322
1,Piemonte,Maschi,46,94273,291,3.08304,94128,0.9966321,30.402
1,Piemonte,Maschi,47,93982,343,3.65370,93811,0.9960874,29.494
1,Piemonte,Maschi,48,93639,391,4.17246,93444,0.9955444,28.600
1,Piemonte,Maschi,49,93248,442,4.73989,93027,0.9950827,27.718
1,Piemonte,Maschi,50,92806,473,5.09566,92570,0.9947138,26.848
1,Piemonte,Maschi,51,92333,506,5.47763,92081,0.9942709,25.983
1,Piemonte,Maschi,52,91828,549,5.98196,91553,0.9937129,25.123
1,Piemonte,Maschi,53,91278,602,6.59412,90977,0.9930169,24.271
1,Piemonte,Maschi,54,90676,669,7.37473,90342,0.9921397,23.429
1,Piemonte,Maschi,55,90008,752,8.34956,89632,0.9912297,22.599
1,Piemonte,Maschi,56,89256,821,9.19456,88846,0.9903204,21.785
1,Piemonte,Maschi,57,88436,899,10.16908,87986,0.9890601,20.983
1,Piemonte,Maschi,58,87536,1026,11.71867,87023,0.9876953,20.193
1,Piemonte,Maschi,59,86510,1116,12.89776,85953,0.9866515,19.427
1,Piemonte,Maschi,60,85395,1179,13.80518,84805,0.9854809,18.674
1,Piemonte,Maschi,61,84216,1284,15.24307,83574,0.9839370,17.929
1,Piemonte,Maschi,62,82932,1401,16.89558,82231,0.9820859,17.198
1,Piemonte,Maschi,63,81531,1545,18.95018,80758,0.9801532,16.485
1,Piemonte,Maschi,64,79986,1661,20.76067,79156,0.9780966,15.794
1,Piemonte,Maschi,65,78325,1807,23.07039,77422,0.9763206,15.118
1,Piemonte,Maschi,66,76518,1860,24.30287,75589,0.9746570,14.464
1,Piemonte,Maschi,67,74659,1972,26.40908,73673,0.9723544,13.811
1,Piemonte,Maschi,68,72687,2102,28.91566,71636,0.9700731,13.173
1,Piemonte,Maschi,69,70585,2186,30.96834,69492,0.9686127,12.550
1,Piemonte,Maschi,70,68399,2176,31.81972,67311,0.9670785,11.935
1,Piemonte,Maschi,71,66223,2256,34.05952,65095,0.9636483,11.311
1,Piemonte,Maschi,72,63967,2477,38.72475,62729,0.9572671,10.692
1,Piemonte,Maschi,73,61490,2884,46.90250,60048,0.9492685,10.103
1,Piemonte,Maschi,74,58606,3209,54.74902,57002,0.9428574,9.575
1,Piemonte,Maschi,75,55398,3306,59.67480,53745,0.9392786,9.101
1,Piemonte,Maschi,76,52092,3221,61.83441,50481,0.9378991,8.647
1,Piemonte,Maschi,77,48871,3049,62.38491,47346,0.9357428,8.184
1,Piemonte,Maschi,78,45822,3036,66.25408,44304,0.9299210,7.695
1,Piemonte,Maschi,79,42786,3174,74.17524,41199,0.9212279,7.205
1,Piemonte,Maschi,80,39612,3317,83.73734,37954,0.9122296,6.742
1,Piemonte,Maschi,81,36295,3345,92.17200,34623,0.9024687,6.313
1,Piemonte,Maschi,82,32950,3408,103.43478,31246,0.8925934,5.903
1,Piemonte,Maschi,83,29542,3304,111.83660,27890,0.8832522,5.527
1,Piemonte,Maschi,84,26238,3208,122.27747,24634,0.8735226,5.159
1,Piemonte,Maschi,85,23030,3023,131.26236,21518,0.8618000,4.809
1,Piemonte,Maschi,86,20007,2925,146.18589,18544,0.8458095,4.460
1,Piemonte,Maschi,87,17082,2794,163.56552,15685,0.8278249,4.138
1,Piemonte,Maschi,88,14288,2607,182.46827,12984,0.8094782,3.849
1,Piemonte,Maschi,89,11681,2341,200.37285,10511,0.7927888,3.596
1,Piemonte,Maschi,90,9340,2015,215.76314,8333,0.7792398,3.372
1,Piemonte,Maschi,91,7325,1664,227.13199,6493,0.7648437,3.162
1,Piemonte,Maschi,92,5661,1390,245.53890,4966,0.7461170,2.945
1,Piemonte,Maschi,93,4271,1132,264.94265,3705,0.7264256,2.740
1,Piemonte,Maschi,94,3140,896,285.31742,2692,0.7051626,2.548
1,Piemonte,Maschi,95,2244,691,308.15795,1898,0.6820517,2.366
1,Piemonte,Maschi,96,1552,516,332.09949,1295,0.6578938,2.196
1,Piemonte,Maschi,97,1037,370,357.08847,852,0.6327506,2.040
1,Piemonte,Maschi,98,667,255,383.05389,539,0.6066998,1.895
1,Piemonte,Maschi,99,411,169,409.90841,327,0.5798326,1.762
1,Piemonte,Maschi,100,243,106,437.55270,190,0.5522528,1.638
1,Piemonte,Maschi,101,136,64,465.87237,105,0.5234880,1.523
1,Piemonte,Maschi,102,73,36,496.43165,55,0.4932341,1.416
1,Piemonte,Maschi,103,37,19,527.28793,27,0.4629171,1.318
1,Piemonte,Maschi,104,17,10,557.80355,13,0.4330272,1.231
1,Piemonte,Maschi,105,8,5,587.70841,5,0.4038145,1.153
1,Piemonte,Maschi,106,3,2,616.74653,2,0.3755137,1.083
1,Piemonte,Maschi,107,1,1,644.68107,1,0.3483394,1.021
1,Piemonte,Maschi,108,0,0,671.30348,0,0.3224788,0.966
1,Piemonte,Maschi,109,0,0,696.43743,0,0.2980891,0.916
1,Piemonte,Maschi,110,0,0,719.94158,0,0.2744796,0.872
1,Piemonte,Maschi,111,0,0,745.44053,0,0.2497026,0.828
1,Piemonte,Maschi,112,0,0,769.37678,0,0.2264405,0.789
1,Piemonte,Maschi,113,0,0,791.69602,0,0.2047399,0.755
1,Piemonte,Maschi,114,0,0,812.36984,0,0.1846234,0.725
1,Piemonte,Maschi,115,0,0,831.40164,0,0.1660856,0.698
1,Piemonte,Maschi,116,0,0,848.81826,0,0.1491005,0.674
1,Piemonte,Maschi,117,0,0,864.66570,0,0.1336250,0.654
1,Piemonte,Maschi,118,0,0,879.00495,0,0.1196019,0.635
1,Piemonte,Maschi,119,0,0,891.91183,0,0.1069608,0.619
1,Piemonte,Femmine,0,100000,656,6.55763,99383,0.9994475,80.248
1,Piemonte,Femmine,1,99344,32,0.32658,99328,0.9996825,79.774
1,Piemonte,Femmine,2,99312,31,0.30841,99296,0.9997080,78.800
1,Piemonte,Femmine,3,99281,27,0.27549,99267,0.9997443,77.824
1,Piemonte,Femmine,4,99254,23,0.23597,99242,0.9997922,76.846
1,Piemonte,Femmine,5,99230,18,0.17972,99221,0.9998314,75.864
1,Piemonte,Femmine,6,99213,16,0.15750,99205,0.9998503,74.877
1,Piemonte,Femmine,7,99197,14,0.14188,99190,0.9998568,73.889
1,Piemonte,Femmine,8,99183,14,0.14450,99176,0.9998505,72.899
1,Piemonte,Femmine,9,99169,15,0.15451,99161,0.9998440,71.910
1,Piemonte,Femmine,10,99153,16,0.15747,99145,0.9998470,70.921
1,Piemonte,Femmine,11,99138,15,0.14845,99130,0.9998496,69.932
1,Piemonte,Femmine,12,99123,15,0.15240,99115,0.9998343,68.942
1,Piemonte,Femmine,13,99108,18,0.17900,99099,0.9997894,67.953
1,Piemonte,Femmine,14,99090,24,0.24226,99078,0.9997262,66.965
1,Piemonte,Femmine,15,99066,30,0.30536,99051,0.9996739,65.981
1,Piemonte,Femmine,16,99036,34,0.34682,99019,0.9996494,65.001
1,Piemonte,Femmine,17,99001,35,0.35435,98984,0.9996535,64.023
1,Piemonte,Femmine,18,98966,34,0.33864,98950,0.9996552,63.046
1,Piemonte,Femmine,19,98933,35,0.35105,98915,0.9996291,62.067
1,Piemonte,Femmine,20,98898,39,0.39078,98879,0.9996086,61.089
1,Piemonte,Femmine,21,98859,39,0.39206,98840,0.9996142,60.112
1,Piemonte,Femmine,22,98821,38,0.37956,98802,0.9996241,59.136
1,Piemonte,Femmine,23,98783,37,0.37225,98765,0.9996315,58.158
1,Piemonte,Femmine,24,98746,36,0.36465,98728,0.9996160,57.179
1,Piemonte,Femmine,25,98710,40,0.40329,98690,0.9995784,56.200
1,Piemonte,Femmine,26,98671,43,0.44001,98649,0.9995471,55.223
1,Piemonte,Femmine,27,98627,46,0.46581,98604,0.9995181,54.247
1,Piemonte,Femmine,28,98581,49,0.49793,98557,0.9994708,53.272
1,Piemonte,Femmine,29,98532,55,0.56057,98505,0.9994273,52.298
1,Piemonte,Femmine,30,98477,58,0.58486,98448,0.9994044,51.327
1,Piemonte,Femmine,31,98419,60,0.60636,98389,0.9993980,50.357
1,Piemonte,Femmine,32,98360,59,0.59765,98330,0.9994046,49.387
1,Piemonte,Femmine,33,98301,58,0.59315,98272,0.9993879,48.416
1,Piemonte,Femmine,34,98243,62,0.63106,98212,0.9993372,47.445
1,Piemonte,Femmine,35,98181,68,0.69463,98146,0.9992616,46.474
1,Piemonte,Femmine,36,98112,77,0.78218,98074,0.9991592,45.506
1,Piemonte,Femmine,37,98036,88,0.89955,97992,0.9990640,44.542
1,Piemonte,Femmine,38,97947,95,0.97250,97900,0.9990176,43.581
1,Piemonte,Femmine,39,97852,97,0.99241,97804,0.9989582,42.623
1,Piemonte,Femmine,40,97755,107,1.09121,97702,0.9989118,41.665
1,Piemonte,Femmine,41,97648,106,1.08523,97595,0.9989129,40.710
1,Piemonte,Femmine,42,97542,106,1.08891,97489,0.9988943,39.754
1,Piemonte,Femmine,43,97436,109,1.12255,97382,0.9988136,38.796
1,Piemonte,Femmine,44,97327,122,1.25038,97266,0.9986347,37.840
1,Piemonte,Femmine,45,97205,144,1.48045,97133,0.9983954,36.886
1,Piemonte,Femmine,46,97061,168,1.72892,96977,0.9981778,35.940
1,Piemonte,Femmine,47,96893,186,1.91564,96801,0.9979395,35.002
1,Piemonte,Femmine,48,96708,213,2.20569,96601,0.9976887,34.068
1,Piemonte,Femmine,49,96494,233,2.41712,96378,0.9975067,33.142
1,Piemonte,Femmine,50,96261,247,2.56959,96138,0.9973653,32.221
1,Piemonte,Femmine,51,96014,259,2.70000,95884,0.9972665,31.303
1,Piemonte,Femmine,52,95755,265,2.76699,95622,0.9970254,30.386
1,Piemonte,Femmine,53,95490,304,3.18272,95338,0.9965593,29.469
1,Piemonte,Femmine,54,95186,352,3.69959,95010,0.9961395,28.562
1,Piemonte,Femmine,55,94834,381,4.02209,94643,0.9958745,27.666
1,Piemonte,Femmine,56,94452,399,4.22937,94252,0.9956092,26.776
1,Piemonte,Femmine,57,94053,428,4.55282,93839,0.9951740,25.887
1,Piemonte,Femmine,58,93625,478,5.10041,93386,0.9945826,25.003
1,Piemonte,Femmine,59,93147,534,5.73600,92880,0.9940767,24.129
1,Piemonte,Femmine,60,92613,566,6.11164,92330,0.9936417,23.265
1,Piemonte,Femmine,61,92047,608,6.60640,91743,0.9931318,22.405
1,Piemonte,Femmine,62,91439,652,7.13177,91113,0.9923185,21.551
