Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,348,3.47615,99673,0.9996553,79.689
1,Piemonte,Maschi e femmine,1,99652,28,0.27786,99639,0.9997550,78.965
1,Piemonte,Maschi e femmine,2,99625,21,0.21210,99614,0.9998094,77.987
1,Piemonte,Maschi e femmine,3,99604,17,0.16911,99595,0.9998445,77.003
1,Piemonte,Maschi e femmine,4,99587,14,0.14188,99580,0.9998649,76.016
1,Piemonte,Maschi e femmine,5,99573,13,0.12829,99566,0.9998743,75.027
1,Piemonte,Maschi e femmine,6,99560,12,0.12319,99554,0.9998773,74.036
1,Piemonte,Maschi e femmine,7,99548,12,0.12225,99541,0.9998805,73.045
1,Piemonte,Maschi e femmine,8,99535,12,0.11667,99530,0.9998866,72.054
1,Piemonte,Maschi e femmine,9,99524,11,0.11023,99518,0.9998907,71.063
1,Piemonte,Maschi e femmine,10,99513,11,0.10839,99507,0.9998908,70.070
1,Piemonte,Maschi e femmine,11,99502,11,0.10996,99497,0.9998781,69.078
1,Piemonte,Maschi e femmine,12,99491,13,0.13386,99484,0.9998457,68.086
1,Piemonte,Maschi e femmine,13,99478,17,0.17469,99469,0.9998070,67.095
1,Piemonte,Maschi e femmine,14,99460,21,0.21128,99450,0.9997608,66.106
1,Piemonte,Maschi e femmine,15,99439,27,0.26706,99426,0.9996895,65.120
1,Piemonte,Maschi e femmine,16,99413,35,0.35391,99395,0.9995770,64.137
1,Piemonte,Maschi e femmine,17,99378,49,0.49215,99353,0.9994481,63.160
1,Piemonte,Maschi e femmine,18,99329,61,0.61169,99298,0.9993485,62.191
1,Piemonte,Maschi e femmine,19,99268,69,0.69126,99234,0.9992944,61.228
1,Piemonte,Maschi e femmine,20,99199,71,0.72002,99164,0.9992683,60.270
1,Piemonte,Maschi e femmine,21,99128,74,0.74335,99091,0.9992613,59.314
1,Piemonte,Maschi e femmine,22,99054,73,0.73413,99018,0.9992474,58.357
1,Piemonte,Maschi e femmine,23,98982,76,0.77104,98943,0.9992277,57.400
1,Piemonte,Maschi e femmine,24,98905,77,0.77361,98867,0.9992413,56.444
1,Piemonte,Maschi e femmine,25,98829,74,0.74376,98792,0.9992814,55.487
1,Piemonte,Maschi e femmine,26,98755,68,0.69332,98721,0.9993200,54.528
1,Piemonte,Maschi e femmine,27,98687,66,0.66673,98654,0.9993476,53.565
1,Piemonte,Maschi e femmine,28,98621,63,0.63814,98589,0.9993569,52.601
1,Piemonte,Maschi e femmine,29,98558,64,0.64807,98526,0.9993518,51.634
1,Piemonte,Maschi e femmine,30,98494,64,0.64829,98462,0.9993461,50.667
1,Piemonte,Maschi e femmine,31,98430,65,0.65959,98398,0.9993287,49.700
1,Piemonte,Maschi e femmine,32,98365,67,0.68311,98332,0.9992974,48.732
1,Piemonte,Maschi e femmine,33,98298,71,0.72215,98263,0.9992492,47.765
1,Piemonte,Maschi e femmine,34,98227,77,0.77953,98189,0.9991983,46.799
1,Piemonte,Maschi e femmine,35,98151,81,0.82381,98110,0.9991732,45.836
1,Piemonte,Maschi e femmine,36,98070,81,0.82974,98029,0.9991620,44.873
1,Piemonte,Maschi e femmine,37,97988,83,0.84633,97947,0.9991278,43.910
1,Piemonte,Maschi e femmine,38,97905,88,0.89803,97861,0.9990508,42.947
