Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,811,8.11197,99237,0.9992802,76.164
1,Piemonte,Maschi e femmine,1,99189,47,0.47529,99165,0.9995848,75.783
1,Piemonte,Maschi e femmine,2,99142,35,0.35504,99124,0.9996774,74.819
1,Piemonte,Maschi e femmine,3,99106,29,0.29017,99092,0.9997257,73.845
1,Piemonte,Maschi e femmine,4,99078,26,0.25840,99065,0.9997418,72.867
1,Piemonte,Maschi e femmine,5,99052,26,0.25793,99039,0.9997452,71.885
1,Piemonte,Maschi e femmine,6,99027,25,0.25163,99014,0.9997588,70.904
1,Piemonte,Maschi e femmine,7,99002,23,0.23084,98990,0.9997787,69.922
1,Piemonte,Maschi e femmine,8,98979,21,0.21176,98968,0.9997930,68.938
1,Piemonte,Maschi e femmine,9,98958,20,0.20216,98948,0.9997964,67.952
1,Piemonte,Maschi e femmine,10,98938,20,0.20512,98928,0.9997969,66.966
1,Piemonte,Maschi e femmine,11,98918,20,0.20117,98908,0.9997975,65.979
1,Piemonte,Maschi e femmine,12,98898,20,0.20384,98888,0.9997867,64.993
1,Piemonte,Maschi e femmine,13,98877,22,0.22285,98866,0.9997439,64.006
1,Piemonte,Maschi e femmine,14,98855,29,0.28931,98841,0.9996580,63.020
1,Piemonte,Maschi e femmine,15,98827,39,0.39460,98807,0.9995348,62.038
1,Piemonte,Maschi e femmine,16,98788,53,0.53591,98761,0.9994040,61.062
1,Piemonte,Maschi e femmine,17,98735,65,0.65605,98703,0.9993088,60.095
1,Piemonte,Maschi e femmine,18,98670,72,0.72635,98634,0.9992529,59.134
1,Piemonte,Maschi e femmine,19,98598,76,0.76794,98561,0.9992124,58.176
1,Piemonte,Maschi e femmine,20,98523,80,0.80736,98483,0.9991878,57.221
1,Piemonte,Maschi e femmine,21,98443,80,0.81712,98403,0.9991863,56.267
1,Piemonte,Maschi e femmine,22,98363,80,0.81027,98323,0.9992040,55.312
1,Piemonte,Maschi e femmine,23,98283,77,0.78165,98245,0.9992223,54.357
1,Piemonte,Maschi e femmine,24,98206,76,0.77381,98168,0.9992398,53.399
1,Piemonte,Maschi e femmine,25,98130,73,0.74650,98094,0.9992399,52.440
1,Piemonte,Maschi e femmine,26,98057,76,0.77369,98019,0.9992160,51.479
1,Piemonte,Maschi e femmine,27,97981,78,0.79424,97942,0.9992102,50.518
