Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,343,3.42860,99677,0.9996421,79.610
1,Piemonte,Maschi e femmine,1,99657,31,0.31006,99642,0.9997361,78.882
1,Piemonte,Maschi e femmine,2,99626,22,0.21763,99615,0.9998102,77.906
1,Piemonte,Maschi e femmine,3,99605,16,0.16190,99596,0.9998537,76.923
1,Piemonte,Maschi e femmine,4,99588,13,0.13069,99582,0.9998713,75.936
1,Piemonte,Maschi e femmine,5,99575,13,0.12676,99569,0.9998771,74.946
1,Piemonte,Maschi e femmine,6,99563,12,0.11910,99557,0.9998889,73.955
1,Piemonte,Maschi e femmine,7,99551,10,0.10302,99546,0.9999030,72.964
1,Piemonte,Maschi e femmine,8,99541,9,0.09103,99536,0.9999132,71.971
1,Piemonte,Maschi e femmine,9,99532,8,0.08267,99528,0.9999156,70.978
1,Piemonte,Maschi e femmine,10,99523,9,0.08606,99519,0.9999064,69.984
1,Piemonte,Maschi e femmine,11,99515,10,0.10117,99510,0.9998856,68.990
1,Piemonte,Maschi e femmine,12,99505,13,0.12753,99498,0.9998511,67.996
1,Piemonte,Maschi e femmine,13,99492,17,0.17021,99484,0.9998069,67.005
1,Piemonte,Maschi e femmine,14,99475,21,0.21604,99464,0.9997537,66.016
1,Piemonte,Maschi e femmine,15,99454,28,0.27666,99440,0.9996854,65.031
1,Piemonte,Maschi e femmine,16,99426,35,0.35257,99409,0.9995893,64.048
1,Piemonte,Maschi e femmine,17,99391,47,0.46888,99368,0.9994849,63.071
1,Piemonte,Maschi e femmine,18,99344,56,0.56137,99317,0.9994096,62.100
1,Piemonte,Maschi e femmine,19,99289,62,0.61950,99258,0.9993705,61.135
1,Piemonte,Maschi e femmine,20,99227,63,0.63941,99195,0.9993576,60.172
1,Piemonte,Maschi e femmine,21,99164,64,0.64533,99132,0.9993482,59.211
1,Piemonte,Maschi e femmine,22,99100,65,0.65832,99067,0.9993122,58.248
1,Piemonte,Maschi e femmine,23,99035,71,0.71732,98999,0.9992739,57.286
1,Piemonte,Maschi e femmine,24,98963,73,0.73494,98927,0.9992864,56.327
1,Piemonte,Maschi e femmine,25,98891,68,0.69232,98857,0.9993294,55.368
1,Piemonte,Maschi e femmine,26,98822,64,0.64878,98790,0.9993712,54.406
1,Piemonte,Maschi e femmine,27,98758,60,0.60879,98728,0.9994108,53.441
1,Piemonte,Maschi e femmine,28,98698,56,0.56965,98670,0.9994255,52.474
1,Piemonte,Maschi e femmine,29,98642,57,0.57944,98613,0.9994265,51.503
1,Piemonte,Maschi e femmine,30,98585,56,0.56765,98557,0.9994364,50.533
1,Piemonte,Maschi e femmine,31,98529,55,0.55949,98501,0.9994323,49.561
1,Piemonte,Maschi e femmine,32,98474,57,0.57582,98445,0.9994064,48.589
1,Piemonte,Maschi e femmine,33,98417,60,0.61131,98387,0.9993662,47.616
1,Piemonte,Maschi e femmine,34,98357,65,0.65624,98324,0.9993172,46.645
1,Piemonte,Maschi e femmine,35,98292,70,0.70935,98257,0.9992629,45.675
1,Piemonte,Maschi e femmine,36,98222,75,0.76489,98185,0.9992048,44.708
1,Piemonte,Maschi e femmine,37,98147,81,0.82551,98107,0.9991437,43.741
1,Piemonte,Maschi e femmine,38,98066,87,0.88712,98023,0.9990746,42.777
1,Piemonte,Maschi e femmine,39,97979,94,0.96372,97932,0.9989716,41.815
1,Piemonte,Maschi e femmine,40,97885,107,1.09315,97831,0.9988656,40.854
1,Piemonte,Maschi e femmine,41,97778,115,1.17568,97720,0.9987618,39.899
1,Piemonte,Maschi e femmine,42,97663,127,1.30072,97599,0.9986447,38.945
1,Piemonte,Maschi e femmine,43,97536,138,1.40986,97467,0.9985227,37.995
1,Piemonte,Maschi e femmine,44,97398,150,1.54487,97323,0.9983815,37.048
1,Piemonte,Maschi e femmine,45,97248,165,1.69227,97166,0.9982364,36.105
1,Piemonte,Maschi e femmine,46,97083,178,1.83502,96994,0.9980900,35.165
1,Piemonte,Maschi e femmine,47,96905,192,1.98517,96809,0.9979304,34.229
1,Piemonte,Maschi e femmine,48,96713,208,2.15427,96609,0.9977115,33.296
1,Piemonte,Maschi e femmine,49,96504,234,2.42307,96388,0.9974098,32.367
1,Piemonte,Maschi e femmine,50,96271,265,2.75782,96138,0.9971099,31.444
1,Piemonte,Maschi e femmine,51,96005,290,3.02265,95860,0.9967998,30.530
1,Piemonte,Maschi e femmine,52,95715,323,3.37838,95553,0.9964181,29.621
1,Piemonte,Maschi e femmine,53,95392,361,3.78615,95211,0.9959595,28.719
1,Piemonte,Maschi e femmine,54,95030,408,4.29586,94826,0.9954630,27.827
1,Piemonte,Maschi e femmine,55,94622,452,4.77920,94396,0.9950103,26.944
1,Piemonte,Maschi e femmine,56,94170,490,5.20117,93925,0.9945751,26.071
1,Piemonte,Maschi e femmine,57,93680,529,5.64985,93416,0.9940933,25.205
1,Piemonte,Maschi e femmine,58,93151,574,6.16492,92864,0.9934965,24.345
1,Piemonte,Maschi e femmine,59,92577,634,6.84421,92260,0.9927416,23.493
1,Piemonte,Maschi e femmine,60,91943,706,7.67547,91590,0.9920902,22.652
1,Piemonte,Maschi e femmine,61,91237,743,8.14596,90866,0.9915954,21.823
1,Piemonte,Maschi e femmine,62,90494,784,8.66537,90102,0.9910415,20.998
1,Piemonte,Maschi e femmine,63,89710,830,9.25421,89295,0.9904706,20.178
1,Piemonte,Maschi e femmine,64,88880,872,9.80726,88444,0.9896593,19.361
1,Piemonte,Maschi e femmine,65,88008,957,10.87939,87529,0.9886146,18.548
1,Piemonte,Maschi e femmine,66,87051,1036,11.89692,86533,0.9873932,17.747
1,Piemonte,Maschi e femmine,67,86015,1146,13.32516,85442,0.9858383,16.954
1,Piemonte,Maschi e femmine,68,84869,1274,15.00953,84232,0.9842415,16.177
1,Piemonte,Maschi e femmine,69,83595,1381,16.51886,82904,0.9825739,15.415
1,Piemonte,Maschi e femmine,70,82214,1509,18.34856,81460,0.9806744,14.666
1,Piemonte,Maschi e femmine,71,80706,1640,20.32087,79886,0.9786923,13.931
1,Piemonte,Maschi e femmine,72,79066,1764,22.31492,78183,0.9757838,13.209
1,Piemonte,Maschi e femmine,73,77301,2022,26.16091,76290,0.9723556,12.499
1,Piemonte,Maschi e femmine,74,75279,2196,29.16766,74181,0.9691067,11.822
1,Piemonte,Maschi e femmine,75,73083,2388,32.67088,71889,0.9654707,11.162
1,Piemonte,Maschi e femmine,76,70696,2577,36.45042,69407,0.9617318,10.522
1,Piemonte,Maschi e femmine,77,68119,2735,40.15470,66751,0.9578088,9.901
1,Piemonte,Maschi e femmine,78,65383,2897,44.31296,63935,0.9523922,9.294
1,Piemonte,Maschi e femmine,79,62486,3190,51.05532,60891,0.9460160,8.702
1,Piemonte,Maschi e femmine,80,59296,3384,57.07018,57604,0.9398721,8.143
1,Piemonte,Maschi e femmine,81,55912,3543,63.37071,54140,0.9342860,7.606
1,Piemonte,Maschi e femmine,82,52369,3572,68.21585,50582,0.9292581,7.087
