Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,241,2.41070,99773,0.9997760,82.237
1,Piemonte,Maschi e femmine,1,99759,16,0.16290,99751,0.9998434,81.435
1,Piemonte,Maschi e femmine,2,99743,15,0.15022,99735,0.9998595,80.448
1,Piemonte,Maschi e femmine,3,99728,13,0.13082,99721,0.9998788,79.460
1,Piemonte,Maschi e femmine,4,99715,11,0.11155,99709,0.9998965,78.470
1,Piemonte,Maschi e femmine,5,99704,10,0.09548,99699,0.9999078,77.479
1,Piemonte,Maschi e femmine,6,99694,9,0.08895,99690,0.9999099,76.486
1,Piemonte,Maschi e femmine,7,99685,9,0.09118,99681,0.9999108,75.493
1,Piemonte,Maschi e femmine,8,99676,9,0.08715,99672,0.9999177,74.500
1,Piemonte,Maschi e femmine,9,99667,8,0.07754,99663,0.9999270,73.506
1,Piemonte,Maschi e femmine,10,99660,7,0.06852,99656,0.9999324,72.512
1,Piemonte,Maschi e femmine,11,99653,7,0.06660,99649,0.9999264,71.517
1,Piemonte,Maschi e femmine,12,99646,8,0.08068,99642,0.9999067,70.522
1,Piemonte,Maschi e femmine,13,99638,11,0.10592,99633,0.9998808,69.527
1,Piemonte,Maschi e femmine,14,99628,13,0.13254,99621,0.9998534,68.535
1,Piemonte,Maschi e femmine,15,99614,16,0.16066,99606,0.9998248,67.544
1,Piemonte,Maschi e femmine,16,99598,19,0.18981,99589,0.9997964,66.555
1,Piemonte,Maschi e femmine,17,99579,22,0.21744,99569,0.9997709,65.567
1,Piemonte,Maschi e femmine,18,99558,24,0.24072,99546,0.9997513,64.581
1,Piemonte,Maschi e femmine,19,99534,26,0.25670,99521,0.9997330,63.597
1,Piemonte,Maschi e femmine,20,99508,28,0.27737,99494,0.9997112,62.613
1,Piemonte,Maschi e femmine,21,99481,30,0.30026,99466,0.9996850,61.630
