Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,555,5.54881,99478,0.9994727,77.913
1,Piemonte,Maschi e femmine,1,99445,39,0.39656,99425,0.9996371,77.345
1,Piemonte,Maschi e femmine,2,99406,33,0.32930,99389,0.9996929,76.376
1,Piemonte,Maschi e femmine,3,99373,28,0.28488,99359,0.9997287,75.401
1,Piemonte,Maschi e femmine,4,99345,26,0.25764,99332,0.9997451,74.422
1,Piemonte,Maschi e femmine,5,99319,25,0.25219,99307,0.9997509,73.441
1,Piemonte,Maschi e femmine,6,99294,24,0.24607,99282,0.9997646,72.460
1,Piemonte,Maschi e femmine,7,99270,22,0.22476,99258,0.9997905,71.477
1,Piemonte,Maschi e femmine,8,99247,19,0.19428,99238,0.9998221,70.493
1,Piemonte,Maschi e femmine,9,99228,16,0.16147,99220,0.9998449,69.507
1,Piemonte,Maschi e femmine,10,99212,15,0.14880,99205,0.9998475,68.518
1,Piemonte,Maschi e femmine,11,99197,15,0.15614,99189,0.9998381,67.528
1,Piemonte,Maschi e femmine,12,99182,17,0.16770,99173,0.9998182,66.539
1,Piemonte,Maschi e femmine,13,99165,19,0.19600,99155,0.9997756,65.550
1,Piemonte,Maschi e femmine,14,99146,25,0.25276,99133,0.9996985,64.562
1,Piemonte,Maschi e femmine,15,99121,35,0.35019,99103,0.9995658,63.579
1,Piemonte,Maschi e femmine,16,99086,51,0.51828,99060,0.9994110,62.601
1,Piemonte,Maschi e femmine,17,99035,65,0.65985,99002,0.9992934,61.633
1,Piemonte,Maschi e femmine,18,98969,75,0.75342,98932,0.9992243,60.673
1,Piemonte,Maschi e femmine,19,98895,79,0.79807,98855,0.9992040,59.719
1,Piemonte,Maschi e femmine,20,98816,78,0.79398,98776,0.9992216,58.766
1,Piemonte,Maschi e femmine,21,98737,75,0.76287,98700,0.9992102,57.812
1,Piemonte,Maschi e femmine,22,98662,81,0.81674,98622,0.9991709,56.856
1,Piemonte,Maschi e femmine,23,98581,83,0.84140,98540,0.9991517,55.902
1,Piemonte,Maschi e femmine,24,98498,84,0.85531,98456,0.9991330,54.949
1,Piemonte,Maschi e femmine,25,98414,86,0.87864,98371,0.9991120,53.995
1,Piemonte,Maschi e femmine,26,98328,88,0.89746,98284,0.9991042,53.042
1,Piemonte,Maschi e femmine,27,98239,88,0.89416,98195,0.9990795,52.090
1,Piemonte,Maschi e femmine,28,98152,93,0.94688,98105,0.9990344,51.136
1,Piemonte,Maschi e femmine,29,98059,97,0.98444,98010,0.9990015,50.184
1,Piemonte,Maschi e femmine,30,97962,99,1.01262,97912,0.9989587,49.233
1,Piemonte,Maschi e femmine,31,97863,105,1.07001,97811,0.9988974,48.282
1,Piemonte,Maschi e femmine,32,97758,111,1.13525,97703,0.9988387,47.333
1,Piemonte,Maschi e femmine,33,97647,116,1.18747,97589,0.9988201,46.387
1,Piemonte,Maschi e femmine,34,97531,114,1.17225,97474,0.9988357,45.441
1,Piemonte,Maschi e femmine,35,97417,113,1.15636,97361,0.9988499,44.494
1,Piemonte,Maschi e femmine,36,97304,111,1.14380,97249,0.9988464,43.545
1,Piemonte,Maschi e femmine,37,97193,113,1.16338,97136,0.9987799,42.594
1,Piemonte,Maschi e femmine,38,97080,124,1.27683,97018,0.9986791,41.643
1,Piemonte,Maschi e femmine,39,96956,132,1.36510,96890,0.9986191,40.696
1,Piemonte,Maschi e femmine,40,96824,135,1.39666,96756,0.9985644,39.751
1,Piemonte,Maschi e femmine,41,96688,143,1.47455,96617,0.9984717,38.806
1,Piemonte,Maschi e femmine,42,96546,153,1.58211,96469,0.9983181,37.862
1,Piemonte,Maschi e femmine,43,96393,172,1.78184,96307,0.9980838,36.921
1,Piemonte,Maschi e femmine,44,96221,197,2.05081,96123,0.9978242,35.986
1,Piemonte,Maschi e femmine,45,96024,221,2.30105,95913,0.9976026,35.059
1,Piemonte,Maschi e femmine,46,95803,239,2.49402,95684,0.9974341,34.139
1,Piemonte,Maschi e femmine,47,95564,252,2.63794,95438,0.9973099,33.223
1,Piemonte,Maschi e femmine,48,95312,261,2.74247,95181,0.9971391,32.310
1,Piemonte,Maschi e femmine,49,95051,283,2.97974,94909,0.9968760,31.397
1,Piemonte,Maschi e femmine,50,94767,310,3.26869,94612,0.9965245,30.489
1,Piemonte,Maschi e femmine,51,94458,348,3.68304,94284,0.9961379,29.588
1,Piemonte,Maschi e femmine,52,94110,380,4.04185,93920,0.9957804,28.695
1,Piemonte,Maschi e femmine,53,93729,412,4.39817,93523,0.9954241,27.810
1,Piemonte,Maschi e femmine,54,93317,444,4.75432,93095,0.9949938,26.930
1,Piemonte,Maschi e femmine,55,92873,488,5.25921,92629,0.9945106,26.057
1,Piemonte,Maschi e femmine,56,92385,529,5.72085,92121,0.9940447,25.192
1,Piemonte,Maschi e femmine,57,91856,569,6.19115,91572,0.9935998,24.334
1,Piemonte,Maschi e femmine,58,91288,603,6.61051,90986,0.9929781,23.482
1,Piemonte,Maschi e femmine,59,90684,674,7.43601,90347,0.9919641,22.635
1,Piemonte,Maschi e femmine,60,90010,778,8.64034,89621,0.9907271,21.801
1,Piemonte,Maschi e femmine,61,89232,884,9.91107,88790,0.9897170,20.987
1,Piemonte,Maschi e femmine,62,88348,942,10.65857,87877,0.9888856,20.192
1,Piemonte,Maschi e femmine,63,87406,1012,11.57511,86900,0.9879838,19.404
1,Piemonte,Maschi e femmine,64,86394,1077,12.46252,85856,0.9869500,18.625
1,Piemonte,Maschi e femmine,65,85318,1164,13.64486,84736,0.9855014,17.854
1,Piemonte,Maschi e femmine,66,84154,1293,15.36418,83507,0.9838061,17.094
1,Piemonte,Maschi e femmine,67,82861,1412,17.03664,82155,0.9821851,16.353
1,Piemonte,Maschi e femmine,68,81449,1515,18.60655,80691,0.9804205,15.628
1,Piemonte,Maschi e femmine,69,79934,1644,20.57097,79111,0.9784756,14.915
1,Piemonte,Maschi e femmine,70,78289,1761,22.49792,77409,0.9765295,14.217
1,Piemonte,Maschi e femmine,71,76528,1872,24.46551,75592,0.9743565,13.533
1,Piemonte,Maschi e femmine,72,74656,2005,26.85112,73653,0.9716234,12.860
1,Piemonte,Maschi e femmine,73,72651,2175,29.94417,71563,0.9689110,12.201
1,Piemonte,Maschi e femmine,74,70476,2274,32.26920,69338,0.9667698,11.562
1,Piemonte,Maschi e femmine,75,68201,2334,34.22327,67034,0.9642058,10.931
1,Piemonte,Maschi e femmine,76,65867,2465,37.42078,64635,0.9600622,10.301
1,Piemonte,Maschi e femmine,77,63402,2698,42.55261,62053,0.9529922,9.682
1,Piemonte,Maschi e femmine,78,60705,3136,51.66110,59136,0.9440389,9.090
1,Piemonte,Maschi e femmine,79,57568,3483,60.49527,55827,0.9363647,8.558
1,Piemonte,Maschi e femmine,80,54086,3623,66.97744,52275,0.9304725,8.077
1,Piemonte,Maschi e femmine,81,50463,3647,72.26064,48640,0.9261539,7.620
1,Piemonte,Maschi e femmine,82,46817,3537,75.55514,45048,0.9218639,7.175
1,Piemonte,Maschi e femmine,83,43280,3503,80.92798,41528,0.9146425,6.721
1,Piemonte,Maschi e femmine,84,39777,3587,90.17706,37984,0.9049209,6.268
1,Piemonte,Maschi e femmine,85,36190,3636,100.46696,34372,0.8941485,5.840
1,Piemonte,Maschi e femmine,86,32554,3641,111.83732,30734,0.8807118,5.436
