Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,669,6.69108,99370,0.9993568,77.220
1,Piemonte,Maschi e femmine,1,99331,49,0.49210,99306,0.9995680,76.737
1,Piemonte,Maschi e femmine,2,99282,37,0.37192,99264,0.9996739,75.775
1,Piemonte,Maschi e femmine,3,99245,28,0.28028,99231,0.9997529,74.803
1,Piemonte,Maschi e femmine,4,99217,21,0.21389,99207,0.9998069,73.824
1,Piemonte,Maschi e femmine,5,99196,17,0.17240,99187,0.9998363,72.839
1,Piemonte,Maschi e femmine,6,99179,15,0.15492,99171,0.9998464,71.852
1,Piemonte,Maschi e femmine,7,99164,15,0.15227,99156,0.9998446,70.863
1,Piemonte,Maschi e femmine,8,99148,16,0.15844,99141,0.9998330,69.874
1,Piemonte,Maschi e femmine,9,99133,17,0.17558,99124,0.9998231,68.885
1,Piemonte,Maschi e femmine,10,99115,18,0.17828,99107,0.9998125,67.897
1,Piemonte,Maschi e femmine,11,99098,19,0.19663,99088,0.9997933,66.909
1,Piemonte,Maschi e femmine,12,99078,21,0.21674,99067,0.9997560,65.922
1,Piemonte,Maschi e femmine,13,99057,27,0.27122,99043,0.9996870,64.936
1,Piemonte,Maschi e femmine,14,99030,35,0.35484,99012,0.9995842,63.953
1,Piemonte,Maschi e femmine,15,98995,47,0.47682,98971,0.9994548,62.976
1,Piemonte,Maschi e femmine,16,98948,61,0.61371,98917,0.9993369,62.006
1,Piemonte,Maschi e femmine,17,98887,70,0.71261,98852,0.9992635,61.043
1,Piemonte,Maschi e femmine,18,98816,75,0.76050,98779,0.9992086,60.087
1,Piemonte,Maschi e femmine,19,98741,81,0.82223,98701,0.9991651,59.132
1,Piemonte,Maschi e femmine,20,98660,84,0.84767,98618,0.9991474,58.180
1,Piemonte,Maschi e femmine,21,98576,85,0.85752,98534,0.9991206,57.229
1,Piemonte,Maschi e femmine,22,98492,89,0.90127,98447,0.9991106,56.278
1,Piemonte,Maschi e femmine,23,98403,86,0.87746,98360,0.9991134,55.328
1,Piemonte,Maschi e femmine,24,98317,88,0.89574,98273,0.9990766,54.376
1,Piemonte,Maschi e femmine,25,98229,93,0.95104,98182,0.9990434,53.425
1,Piemonte,Maschi e femmine,26,98135,94,0.96220,98088,0.9990333,52.475
1,Piemonte,Maschi e femmine,27,98041,95,0.97125,97993,0.9990099,51.525
1,Piemonte,Maschi e femmine,28,97946,99,1.00891,97896,0.9989930,50.575
1,Piemonte,Maschi e femmine,29,97847,98,1.00514,97798,0.9989706,49.625
1,Piemonte,Maschi e femmine,30,97748,103,1.05369,97697,0.9989405,48.675
1,Piemonte,Maschi e femmine,31,97645,104,1.06531,97593,0.9989453,47.725
1,Piemonte,Maschi e femmine,32,97541,102,1.04405,97490,0.9989653,46.776
1,Piemonte,Maschi e femmine,33,97440,100,1.02535,97390,0.9989591,45.824
1,Piemonte,Maschi e femmine,34,97340,103,1.05655,97288,0.9989338,44.871
1,Piemonte,Maschi e femmine,35,97237,105,1.07594,97185,0.9988923,43.918
1,Piemonte,Maschi e femmine,36,97132,111,1.13952,97077,0.9988221,42.964
1,Piemonte,Maschi e femmine,37,97022,118,1.21629,96963,0.9987570,42.013
1,Piemonte,Maschi e femmine,38,96903,123,1.26972,96842,0.9987104,41.063
1,Piemonte,Maschi e femmine,39,96780,127,1.30948,96717,0.9986166,40.115
1,Piemonte,Maschi e femmine,40,96654,141,1.45743,96583,0.9984897,39.167
1,Piemonte,Maschi e femmine,41,96513,151,1.56330,96437,0.9983373,38.223
1,Piemonte,Maschi e femmine,42,96362,170,1.76217,96277,0.9981748,37.282
1,Piemonte,Maschi e femmine,43,96192,182,1.88827,96101,0.9980897,36.347
1,Piemonte,Maschi e femmine,44,96011,186,1.93240,95918,0.9980433,35.415
1,Piemonte,Maschi e femmine,45,95825,190,1.98108,95730,0.9978939,34.483
1,Piemonte,Maschi e femmine,46,95635,213,2.23145,95528,0.9975765,33.550
1,Piemonte,Maschi e femmine,47,95422,250,2.61590,95297,0.9971660,32.624
1,Piemonte,Maschi e femmine,48,95172,291,3.05263,95027,0.9967848,31.708
1,Piemonte,Maschi e femmine,49,94882,321,3.37822,94721,0.9963806,30.804
1,Piemonte,Maschi e femmine,50,94561,365,3.86141,94379,0.9959550,29.907
1,Piemonte,Maschi e femmine,51,94196,398,4.22930,93997,0.9956334,29.021
1,Piemonte,Maschi e femmine,52,93798,423,4.50446,93586,0.9953904,28.142
1,Piemonte,Maschi e femmine,53,93375,440,4.71514,93155,0.9952125,27.267
1,Piemonte,Maschi e femmine,54,92935,452,4.86025,92709,0.9949807,26.394
1,Piemonte,Maschi e femmine,55,92483,479,5.17907,92244,0.9944478,25.520
1,Piemonte,Maschi e femmine,56,92004,545,5.92723,91731,0.9937714,24.650
1,Piemonte,Maschi e femmine,57,91459,597,6.53179,91160,0.9930908,23.794
1,Piemonte,Maschi e femmine,58,90861,662,7.28910,90530,0.9922343,22.948
1,Piemonte,Maschi e femmine,59,90199,744,8.24590,89827,0.9911953,22.112
1,Piemonte,Maschi e femmine,60,89455,838,9.36810,89036,0.9900844,21.292
1,Piemonte,Maschi e femmine,61,88617,928,10.46829,88153,0.9890816,20.489
1,Piemonte,Maschi e femmine,62,87690,997,11.37323,87191,0.9881669,19.700
1,Piemonte,Maschi e femmine,63,86692,1066,12.29820,86159,0.9871359,18.921
1,Piemonte,Maschi e femmine,64,85626,1151,13.43695,85051,0.9858123,18.150
1,Piemonte,Maschi e femmine,65,84476,1263,14.94863,83844,0.9842691,17.391
1,Piemonte,Maschi e femmine,66,83213,1375,16.52499,82525,0.9827379,16.647
1,Piemonte,Maschi e femmine,67,81838,1474,18.01150,81101,0.9813167,15.918
1,Piemonte,Maschi e femmine,68,80364,1556,19.36748,79585,0.9797585,15.201
1,Piemonte,Maschi e femmine,69,78807,1665,21.13272,77975,0.9777066,14.492
1,Piemonte,Maschi e femmine,70,77142,1811,23.47920,76236,0.9756342,13.794
1,Piemonte,Maschi e femmine,71,75331,1904,25.27381,74379,0.9740104,13.113
1,Piemonte,Maschi e femmine,72,73427,1962,26.72400,72446,0.9721348,12.440
1,Piemonte,Maschi e femmine,73,71464,2075,29.03772,70427,0.9690586,11.768
1,Piemonte,Maschi e femmine,74,69389,2283,32.90197,68248,0.9638750,11.105
1,Piemonte,Maschi e femmine,75,67106,2648,39.45775,65782,0.9571972,10.466
1,Piemonte,Maschi e femmine,76,64458,2983,46.28532,62967,0.9510778,9.875
1,Piemonte,Maschi e femmine,77,61475,3177,51.68714,59886,0.9458192,9.330
1,Piemonte,Maschi e femmine,78,58297,3312,56.81033,56642,0.9418811,8.812
1,Piemonte,Maschi e femmine,79,54986,3272,59.50634,53350,0.9380099,8.312
1,Piemonte,Maschi e femmine,80,51714,3342,64.63109,50042,0.9319210,7.807
1,Piemonte,Maschi e femmine,81,48371,3471,71.76522,46636,0.9239133,7.311
1,Piemonte,Maschi e femmine,82,44900,3625,80.74221,43087,0.9152328,6.838
1,Piemonte,Maschi e femmine,83,41275,3679,89.14565,39435,0.9050174,6.395
1,Piemonte,Maschi e femmine,84,37595,3812,101.39090,35689,0.8942171,5.972
1,Piemonte,Maschi e femmine,85,33783,3739,110.67049,31914,0.8855158,5.589
1,Piemonte,Maschi e femmine,86,30045,3568,118.77255,28260,0.8762800,5.222
1,Piemonte,Maschi e femmine,87,26476,3424,129.33437,24764,0.8624335,4.859
1,Piemonte,Maschi e femmine,88,23052,3389,147.02148,21357,0.8468241,4.506
1,Piemonte,Maschi e femmine,89,19663,3154,160.39122,18086,0.8326369,4.197
1,Piemonte,Maschi e femmine,90,16509,2900,175.66683,15059,0.8179151,3.903
1,Piemonte,Maschi e femmine,91,13609,2584,189.87077,12317,0.8022458,3.628
1,Piemonte,Maschi e femmine,92,11025,2288,207.48532,9881,0.7839903,3.361
1,Piemonte,Maschi e femmine,93,8737,1981,226.76573,7747,0.7639938,3.110
1,Piemonte,Maschi e femmine,94,6756,1675,247.95665,5918,0.7423311,2.876
1,Piemonte,Maschi e femmine,95,5081,1375,270.58330,4393,0.7193367,2.659
1,Piemonte,Maschi e femmine,96,3706,1091,294.48252,3160,0.6953452,2.460
1,Piemonte,Maschi e femmine,97,2615,834,319.07290,2198,0.6705527,2.278
1,Piemonte,Maschi e femmine,98,1780,614,344.68299,1474,0.6448310,2.112
1,Piemonte,Maschi e femmine,99,1167,433,371.17050,950,0.6183308,1.959
1,Piemonte,Maschi e femmine,100,734,292,398.36470,588,0.5912276,1.821
1,Piemonte,Maschi e femmine,101,441,188,426.07136,347,0.5640359,1.695
1,Piemonte,Maschi e femmine,102,253,115,453.20088,196,0.5370886,1.582
1,Piemonte,Maschi e femmine,103,139,67,480.67025,105,0.5099038,1.479
1,Piemonte,Maschi e femmine,104,72,37,508.24655,54,0.4826734,1.384
1,Piemonte,Maschi e femmine,105,35,19,535.79136,26,0.4555247,1.299
1,Piemonte,Maschi e femmine,106,16,9,563.18242,12,0.4285702,1.220
1,Piemonte,Maschi e femmine,107,7,4,590.31027,5,0.4019082,1.149
1,Piemonte,Maschi e femmine,108,3,2,617.08545,2,0.3756204,1.084
1,Piemonte,Maschi e femmine,109,1,1,643.42879,1,0.3497777,1.025
1,Piemonte,Maschi e femmine,110,0,0,669.27445,0,0.3251146,0.972
1,Piemonte,Maschi e femmine,111,0,0,691.85094,0,0.3030690,0.927
1,Piemonte,Maschi e femmine,112,0,0,713.41685,0,0.2820112,0.887
1,Piemonte,Maschi e femmine,113,0,0,733.94215,0,0.2619656,0.851
1,Piemonte,Maschi e femmine,114,0,0,753.41553,0,0.2429392,0.817
1,Piemonte,Maschi e femmine,115,0,0,771.84377,0,0.2249242,0.788
1,Piemonte,Maschi e femmine,116,0,0,789.24170,0,0.2079057,0.760
1,Piemonte,Maschi e femmine,117,0,0,805.62920,0,0.1918643,0.736
1,Piemonte,Maschi e femmine,118,0,0,821.03092,0,0.1767772,0.714
1,Piemonte,Maschi e femmine,119,0,0,835.47010,0,0.1626227,0.694
1,Piemonte,Maschi,0,100000,721,7.21104,99321,0.9992764,73.903
1,Piemonte,Maschi,1,99279,59,0.59066,99250,0.9995049,73.436
1,Piemonte,Maschi,2,99220,40,0.39942,99200,0.9996664,72.479
1,Piemonte,Maschi,3,99181,27,0.26768,99167,0.9997745,71.508
1,Piemonte,Maschi,4,99154,18,0.18330,99145,0.9998343,70.527
1,Piemonte,Maschi,5,99136,15,0.14817,99129,0.9998579,69.540
1,Piemonte,Maschi,6,99121,13,0.13596,99114,0.9998584,68.550
1,Piemonte,Maschi,7,99108,15,0.14721,99100,0.9998402,67.559
1,Piemonte,Maschi,8,99093,17,0.17230,99085,0.9998071,66.569
1,Piemonte,Maschi,9,99076,21,0.21351,99065,0.9997798,65.580
1,Piemonte,Maschi,10,99055,22,0.22687,99044,0.9997620,64.594
1,Piemonte,Maschi,11,99032,25,0.24905,99020,0.9997452,63.609
1,Piemonte,Maschi,12,99008,26,0.26055,98995,0.9997073,62.624
