Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,259,2.59324,99756,0.9997616,82.479
1,Piemonte,Maschi e femmine,1,99741,17,0.17000,99732,0.9998537,81.693
1,Piemonte,Maschi e femmine,2,99724,12,0.12263,99718,0.9998918,80.706
1,Piemonte,Maschi e femmine,3,99711,9,0.09371,99707,0.9999145,79.716
1,Piemonte,Maschi e femmine,4,99702,8,0.07723,99698,0.9999257,78.724
1,Piemonte,Maschi e femmine,5,99694,7,0.07140,99691,0.9999296,77.730
1,Piemonte,Maschi e femmine,6,99687,7,0.06931,99684,0.9999319,76.735
1,Piemonte,Maschi e femmine,7,99680,7,0.06683,99677,0.9999357,75.740
1,Piemonte,Maschi e femmine,8,99674,6,0.06175,99671,0.9999387,74.746
1,Piemonte,Maschi e femmine,9,99668,6,0.06081,99665,0.9999388,73.750
1,Piemonte,Maschi e femmine,10,99662,6,0.06168,99658,0.9999356,72.755
1,Piemonte,Maschi e femmine,11,99655,7,0.06719,99652,0.9999275,71.759
1,Piemonte,Maschi e femmine,12,99649,8,0.07785,99645,0.9999134,70.764
1,Piemonte,Maschi e femmine,13,99641,9,0.09531,99636,0.9998939,69.769
1,Piemonte,Maschi e femmine,14,99631,12,0.11688,99626,0.9998725,68.776
1,Piemonte,Maschi e femmine,15,99620,14,0.13805,99613,0.9998502,67.784
1,Piemonte,Maschi e femmine,16,99606,16,0.16163,99598,0.9998234,66.793
1,Piemonte,Maschi e femmine,17,99590,19,0.19160,99580,0.9997896,65.804
1,Piemonte,Maschi e femmine,18,99571,23,0.22919,99559,0.9997505,64.816
1,Piemonte,Maschi e femmine,19,99548,27,0.26985,99535,0.9997159,63.831
1,Piemonte,Maschi e femmine,20,99521,30,0.29845,99506,0.9996937,62.848
1,Piemonte,Maschi e femmine,21,99491,31,0.31412,99476,0.9996881,61.867
1,Piemonte,Maschi e femmine,22,99460,31,0.30977,99445,0.9996946,60.886
1,Piemonte,Maschi e femmine,23,99429,30,0.30109,99414,0.9996968,59.905
1,Piemonte,Maschi e femmine,24,99399,30,0.30523,99384,0.9996783,58.923
1,Piemonte,Maschi e femmine,25,99369,34,0.33825,99352,0.9996311,57.941
1,Piemonte,Maschi e femmine,26,99336,40,0.39950,99316,0.9995749,56.960
1,Piemonte,Maschi e femmine,27,99296,45,0.45068,99273,0.9995444,55.983
1,Piemonte,Maschi e femmine,28,99251,46,0.46056,99228,0.9995533,55.008
1,Piemonte,Maschi e femmine,29,99205,43,0.43285,99184,0.9995820,54.033
1,Piemonte,Maschi e femmine,30,99162,40,0.40323,99142,0.9996055,53.056
1,Piemonte,Maschi e femmine,31,99122,38,0.38567,99103,0.9995975,52.077
1,Piemonte,Maschi e femmine,32,99084,42,0.41925,99063,0.9995627,51.097
1,Piemonte,Maschi e femmine,33,99043,45,0.45542,99020,0.9995171,50.118
1,Piemonte,Maschi e femmine,34,98998,51,0.51045,98972,0.9994611,49.141
1,Piemonte,Maschi e femmine,35,98947,56,0.56734,98919,0.9994004,48.166
1,Piemonte,Maschi e femmine,36,98891,62,0.63189,98860,0.9993447,47.193
1,Piemonte,Maschi e femmine,37,98828,67,0.67867,98795,0.9992971,46.222
1,Piemonte,Maschi e femmine,38,98761,72,0.72722,98725,0.9992607,45.253
1,Piemonte,Maschi e femmine,39,98690,74,0.75140,98652,0.9992172,44.286
1,Piemonte,Maschi e femmine,40,98615,80,0.81431,98575,0.9991585,43.319
1,Piemonte,Maschi e femmine,41,98535,86,0.86878,98492,0.9990938,42.354
1,Piemonte,Maschi e femmine,42,98449,93,0.94369,98403,0.9990015,41.390
1,Piemonte,Maschi e femmine,43,98357,104,1.05344,98305,0.9988841,40.429
1,Piemonte,Maschi e femmine,44,98253,116,1.17834,98195,0.9987664,39.471
1,Piemonte,Maschi e femmine,45,98137,126,1.28885,98074,0.9986390,38.517
1,Piemonte,Maschi e femmine,46,98011,140,1.43331,97940,0.9985104,37.566
1,Piemonte,Maschi e femmine,47,97870,151,1.54598,97795,0.9983629,36.619
1,Piemonte,Maschi e femmine,48,97719,169,1.72831,97634,0.9981941,35.675
1,Piemonte,Maschi e femmine,49,97550,184,1.88368,97458,0.9980540,34.736
1,Piemonte,Maschi e femmine,50,97366,196,2.00847,97268,0.9978916,33.800
1,Piemonte,Maschi e femmine,51,97171,215,2.20860,97063,0.9976870,32.867
1,Piemonte,Maschi e femmine,52,96956,234,2.41762,96839,0.9974636,31.939
1,Piemonte,Maschi e femmine,53,96722,257,2.65546,96593,0.9972085,31.015
1,Piemonte,Maschi e femmine,54,96465,282,2.92800,96324,0.9969105,30.097
1,Piemonte,Maschi e femmine,55,96182,313,3.25147,96026,0.9965647,29.183
1,Piemonte,Maschi e femmine,56,95870,347,3.61981,95696,0.9960918,28.277
1,Piemonte,Maschi e femmine,57,95523,401,4.19763,95322,0.9956144,27.378
1,Piemonte,Maschi e femmine,58,95122,435,4.57428,94904,0.9951286,26.491
1,Piemonte,Maschi e femmine,59,94687,490,5.16981,94442,0.9946397,25.611
1,Piemonte,Maschi e femmine,60,94197,523,5.55175,93936,0.9942400,24.741
1,Piemonte,Maschi e femmine,61,93674,559,5.96935,93394,0.9938567,23.877
1,Piemonte,Maschi e femmine,62,93115,588,6.31825,92821,0.9933063,23.017
