Cod. regione,Regione,Sesso,Età,Sopravviventi,Decessi,Probabilità di morte (per mille),Anni vissuti,Probabilità prospettive di sopravvivenza,Speranza di vita
1,Piemonte,Maschi e femmine,0,100000,524,5.24060,99507,0.9995511,78.358
1,Piemonte,Maschi e femmine,1,99476,28,0.27647,99462,0.9997450,77.769
1,Piemonte,Maschi e femmine,2,99448,23,0.23354,99437,0.9997823,76.790
1,Piemonte,Maschi e femmine,3,99425,20,0.20179,99415,0.9998091,75.808
1,Piemonte,Maschi e femmine,4,99405,18,0.17992,99396,0.9998252,74.823
1,Piemonte,Maschi e femmine,5,99387,17,0.16974,99379,0.9998337,73.836
1,Piemonte,Maschi e femmine,6,99370,16,0.16295,99362,0.9998373,72.849
1,Piemonte,Maschi e femmine,7,99354,16,0.16241,99346,0.9998402,71.861
1,Piemonte,Maschi e femmine,8,99338,16,0.15721,99330,0.9998455,70.872
1,Piemonte,Maschi e femmine,9,99322,15,0.15179,99315,0.9998481,69.883
1,Piemonte,Maschi e femmine,10,99307,15,0.15205,99300,0.9998431,68.894
1,Piemonte,Maschi e femmine,11,99292,16,0.16184,99284,0.9998286,67.904
1,Piemonte,Maschi e femmine,12,99276,18,0.18099,99267,0.9998003,66.915
1,Piemonte,Maschi e femmine,13,99258,22,0.21849,99247,0.9997627,65.927
1,Piemonte,Maschi e femmine,14,99237,25,0.25610,99224,0.9997143,64.941
1,Piemonte,Maschi e femmine,15,99211,31,0.31531,99195,0.9996380,63.958
1,Piemonte,Maschi e femmine,16,99180,41,0.40877,99160,0.9995288,62.978
1,Piemonte,Maschi e femmine,17,99139,53,0.53362,99113,0.9994077,62.003
1,Piemonte,Maschi e femmine,18,99086,64,0.65092,99054,0.9993118,61.036
1,Piemonte,Maschi e femmine,19,99022,72,0.72542,98986,0.9992450,60.076
1,Piemonte,Maschi e femmine,20,98950,78,0.78457,98911,0.9992034,59.119
1,Piemonte,Maschi e femmine,21,98872,80,0.80856,98832,0.9991974,58.165
1,Piemonte,Maschi e femmine,22,98793,79,0.79664,98753,0.9991911,57.212
1,Piemonte,Maschi e femmine,23,98714,81,0.82126,98673,0.9991771,56.257
1,Piemonte,Maschi e femmine,24,98633,81,0.82449,98592,0.9991793,55.303
1,Piemonte,Maschi e femmine,25,98551,81,0.81690,98511,0.9991692,54.348
1,Piemonte,Maschi e femmine,26,98471,83,0.84468,98429,0.9991446,53.392
1,Piemonte,Maschi e femmine,27,98388,85,0.86618,98345,0.9991375,52.437
1,Piemonte,Maschi e femmine,28,98303,84,0.85877,98260,0.9991186,51.482
1,Piemonte,Maschi e femmine,29,98218,89,0.90398,98174,0.9990940,50.525
1,Piemonte,Maschi e femmine,30,98129,89,0.90800,98085,0.9990792,49.571
1,Piemonte,Maschi e femmine,31,98040,92,0.93370,97994,0.9990496,48.615
1,Piemonte,Maschi e femmine,32,97949,95,0.96720,97901,0.9990069,47.660
1,Piemonte,Maschi e femmine,33,97854,100,1.01912,97804,0.9989847,46.706
1,Piemonte,Maschi e femmine,34,97754,99,1.01153,97705,0.9989782,45.753
1,Piemonte,Maschi e femmine,35,97655,101,1.03205,97605,0.9989681,44.799
1,Piemonte,Maschi e femmine,36,97555,101,1.03166,97504,0.9989528,43.845
